大方,dà fānɡ,generous,ใจกว้าง/ไม่งก,hào phóng/rộng rãi,ໃຈກວ້າງ/ບໍ່ງົກ,généreux,気前がいい/太っ腹,통 크다/후하다,щедрый,großzügig,generoso
要不然,yào bu rán,otherwise,ไม่งั้น/มิฉะนั้น,không thì/bằng không,ບໍ່ຢ່າງນັ້ນ,sinon/autrement,さもないと,아니면/그렇지 않으면,иначе/а то,sonst/anderenfalls,si no/de lo contrario
天使,tiān shǐ,angel,นางฟ้า/เทวทูต,thiên sứ/thiên thần,ທູດສະຫວັນ,ange,天使,천사,ангел,Engel,ángel
疯子,fēnɡ zǐ,madman,คนบ้า/เพี้ยน,kẻ điên/người khùng,ຄົນບ້າ,fou/folle (fam.),狂人/キチガイ（俗）,미치광이/또라이,сумасшедший,Irre/Verrückter,loco (col.)
传说,chuán shuō,legend,ตำนาน/เล่าลือ,truyền thuyết/lời đồn,ນິທານ/ຄຳເລົ່າ,légende/d’après la rumeur,伝説/言い伝え,전설/소문에 의하면,легенда/по преданию,Legende/Überlieferung,leyenda/según se dice
魔鬼,mó ɡuǐ,devil/demon,ปีศาจ/ซาตาน,ma quỷ/quỷ dữ,ປີສາດ/ມານ,diable/démon,悪魔/デビル,악마/마귀,дьявол/демон,Teufel/Dämon,diablo/demonio
诗歌,shī ɡē,poem,บทกวี/กวีนิพนธ์,thi ca/bài thơ,ບົດກະວີ,poésie/poème,詩/ポエム,시/서정시,поэзия/стих,Poesie/Gedicht,poesía/poema
要么,yào mɑ,either...or..,หรือไม่ก็…,hoặc là…/nếu không thì…,ບໍ່ຢ່າງນັ້ນກໍ…,soit… soit…,あるいは/でなければ,혹은/…하든지,либо… либо…,entweder … oder …,o bien … o …
诗集,shī jí,anthology or collection of poems,รวมบทกวี/หนังสือกวีนิพนธ์,tập thơ/tuyển thơ,ຊຸດກະວີ,recueil de poèmes,詩集,시집,сборник стихов,Gedichtband,libro de poemas/antología
抽,chōu,take out from in between,ดึงออก/หยิบออก,rút ra/lấy ra,ດຶງອອກ/ຫຍິບອອກ,retirer/tirer,引き出す/取り出す,빼다/꺼내다,вытянуть/достать,herausziehen,sacar
贴,tiē,be next to,ติด/แปะ/แนบชิด,dán/sát cạnh,ຕິດ/ແປะ/ຊິດ,coller/être contre,貼る/寄り添う,붙이다/바짝 붙다,приклеить/прилегать,kleben/anliegen,pegar/estar junto a
薄,bó,thin,บาง/บางเบา,mỏng,ບາງ,fin/mince,薄い,얇다,тонкий,dünn,fino/delgado
册子,cè zǐ,booklet,สมุดเล่ม/โบรชัวร์,cuốn sổ/tập nhỏ,ສົ່ງ/ປື້ມນ້ອຍ,livret/brochure,小冊子/ブックレット,소책자/북릿,брошюра/книжечка,Broschüre/Heftchen,folleto/cuadernillo
翻译,fān yì,translate/interpret,แปล/ล่าม,dịch/phiên dịch,ແປ/ລ່າມ,traduire/interpréter,翻訳/通訳,번역/통역,переводить/переводчик,übersetzen/dolmetschen,traducir/interpretar
古典,ɡǔ diǎn,classical,คลาสสิก/โบราณแบบดั้งเดิม,cổ điển,ຄລາສສິກ/ໂບຮານ,classique,古典的,고전의,классический,klassisch,clásico
随便,suí biàn,at will,ตามสบาย/สุ่มๆก็ได้,tùy ý/tùy tiện,ຕາມສະບາຍ/ຈັດໂຕໄດ້,comme tu veux/à la légère,気ままに/適当に,아무렇게나/마음대로,как угодно/небрежно,wie du willst/irgendwie,como quieras/sin pensar mucho
吸引,xī yǐn,attract,ดึงดูด,thu hút/hấp dẫn,ດຶງດູດ,attirer,引きつける,끌어당기다/매료하다,привлекать,anziehen,atraer
关注,ɡuān zhù,pay close attention to,สนใจติดตาม/โฟกัส,quan tâm theo dõi,ຕິດຕາມໃສ່ໃຈ,suivre de près/s’intéresser à,関心を寄せる/注目する,관심을 갖다/주목하다,уделять внимание/следить,beobachten/im Blick haben,prestar atención/seguir
遥远,yáo yuǎn,faraway,ไกลโพ้น,xa xôi,ໄກຫ່າງ,lointain/éloigné,遥か/遠い,아득히 먼,далёкий,fern/weit entfernt,lejano
著名,zhù mínɡ,famous/well-known,มีชื่อเสียง/โด่งดัง,nổi tiếng,ມີຊື່ສຽງ,célèbre/renommé,著名な/有名な,저명한/유명한,знаменитый,berühmt,famoso
教材,jiào cái,teaching material,ตำรา/สื่อการสอน,giáo trình/tài liệu giảng dạy,ຕຳລາ/ອຸປະກອນການສອນ,manuel/matériel pédagogique,教材/教科書,교재,учебные материалы,Lehrmaterial,material didáctico
开设,kāi shè,offer(a course in college,etc.),เปิดสอน/เปิด(หลักสูตร),mở (môn/khóa),ເປີດສອນ/ເປີດຫຼັກສູດ,ouvrir (un cours),（科目を）開設する,개설하다,открыть (курс),einrichten/eröffnen (Kurs),abrir (curso)
失眠,shī mián,suffer from insomnia/be unable to sleep,นอนไม่หลับ,mất ngủ,ນອນບໍ່ຫຼັບ,insomnie,不眠/眠れない,불면증/잠이 안 오다,бессонница/не спать,Schlaflosigkeit,insomnio
躺,tǎnɡ,lie,นอนราบ/เอนตัวลง,nằm,ນອນລາບ,s’allonger,横になる,눕다,лечь/лежать,sich hinlegen/liegen,tumbarse/yacer
反复,fǎn fù,repeatedly/again and again,ซ้ำๆ/ย้ำไปมา,lặp đi lặp lại,ຊໍ້າໆ,à plusieurs reprises,何度も/繰り返し,반복해서,неоднократно/повторно,wiederholt,repetidamente
忍不住,rěn bú zhù,cannot help doing sth,กลั้นไม่อยู่/อดไม่ไหว,không nhịn được/không kìm được,ອົດບໍ່ໄດ້,ne pas se retenir,思わず/こらえきれない,참지 못하다,не удержаться/невозможно сдержаться,sich nicht halten können,no poder evitar
拨通,bō tōnɡ,reach sb by phone,โทรติด/ต่อสายติด,gọi thông máy,ໂທຕິດ,joindre (au téléphone),電話がつながる,전화를 연결하다,дозвониться,durchkommen (Telefon),comunicarse (teléfono)
早已,zǎo yǐ,already,ตั้งนานแล้ว/มานาน,đã…từ lâu,ດົນແລ້ວ,depuis longtemps,とっくに/ずっと前から,진작에/이미 오래 전,давным-давно/уже давно,schon lange,desde hace mucho
一再,yí zài,repeatedly/again and again,ซ้ำแล้วซ้ำอีก,hết lần này đến lần khác,ຊ້ຳແລ້ວຊ້ຳອີກ,à maintes reprises,再三/何度も,거듭/누누이,неоднократно,wieder und wieder,una y otra vez
表达,biǎo dá,express(one's ideas or feelings),ถ่ายทอด/แสดงออก,biểu đạt/bày tỏ,ສະແດງອອກ,exprimer,表現する/表す,표현하다,выражать,ausdrücken,expresar
招,zhāo,recruit/enroll,รับคน/รับสมัคร,tuyển/chiêu mộ,ຮັບຄົນ/ຮັບນັກຮຽນ,recruter/engager,募集する/採る,모집하다/채용하다,набирать/принимать,rekrutieren/anheuern,reclutar/inscribir
何必,hé bì,there is no need/why,จะไปทำไม/ไม่เห็นจำเป็น,hà tất/việc gì phải,ຈະໄປເຮັດເພາະຫຍັງ/ບໍ່ຈໍາເປັນ,à quoi bon,何も…することはない,굳이 … 할 필요 없다,к чему/зачем,wozu denn,para qué
简直,jiǎn zhí,simply/just,เรียกได้ว่า/แทบจะ,quả là/thật là/đúng là,ແທ້ໆ/ຈິງໆ,tout simplement,まるで/まったく,그야말로/정말로,просто-напросто/совсем,einfach nur,simplemente/verdaderamente
灰心,huī xīn,lose heart/be discouraged,ท้อใจ/หมดกำลังใจ,nản lòng,ທ້ອຍໃຈ,perdre courage,落ち込む/くじける,낙담하다,падать духом,mutlos werden,desanimarse
怪不得,ɡuài bu de,no wonder,มิน่าล่ะ/ไม่น่าแปลกใจ,thảo nào/chẳng trách,ບໍ່ນ່າແປກໃຈ/ວ່າແລ້ວ,pas étonnant/forcément,どうりで/なるほど,어쩐지/그럴 만도,неудивительно/вот почему,kein Wunder/na klar,con razón/no me extraña
天书,tiān shū,abstruse or illegible writing,หนังสือเทพ/อ่านไม่ออกสักนิด,thiên thư/khó hiểu như chữ trời,ໜັງສືຟ້າ/ອ່ານບໍ່ອອກ,écriture incompréhensible,チンプンカンプンの文,천서/뚱딴지 같은 글,заумный текст/абракадабра,unleserliche Schrift,galimatías/indescifrable
废除,fèi chú,abolish,ยกเลิก/ล้มเลิก,bãi bỏ/huỷ bỏ,ຍົກເລີກ,abolir,廃止する,폐지하다,упразднить/отменить,abschaffen,abolir/derogar
围棋,wéi qí,weiqi/the game of go,โกะ/ล้อม棋,cờ vây,ເກມໂກะ (ລ້ອມກີ),jeu de go,囲碁,바둑,го/игра го,Go/Baduk,go (juego de mesa)
规则,ɡuī zé,rule,กฎ/กติกา,quy tắc/luật lệ,ກົດ/ກະຕິກາ,règle,ルール/規則,규칙/규정,правило,Regel,regla
兴奋,xīnɡ fèn,excited,ตื่นเต้น/คึกคัก,hưng phấn/phấn khích,ຕື່ນເຕ້ນ,excité,興奮する/わくわく,흥분하다/들뜨다,взволнованный/возбуждённый,aufgeregt,emocionado
掌握,zhǎnɡ wò,master/grasp,จับประเด็น/คุมให้อยู่,nắm vững/nắm giữ,ຄອບຄຸມ/ຈັບໃຈຄວາມ,maîtriser,把握する/身につける,장악하다/숙달하다,овладеть/держать в руках,beherrschen,dominar/manejar
迷宫,mí ɡōnɡ,labyrinth/maze,เขาวงกต,mê cung,ວົງກົດ/ທາງຫຼົບຫນີ,labyrinthe,迷宮/ラビリンス,미궁/미로,лабиринт,Labyrinth,laberinto
比喻,bǐ yù,simile/metaphor/analogy,อุปมา/เปรียบเทียบ,ẩn dụ/so sánh,ອຸປະໄນ/ການປຽບ,métaphore/comparaison,比喩,비유,метафора/сравнение,Metapher/Vergleich,metáfora/símil
复杂,fù zá,complicated/complex,ซับซ้อน,phức tạp,ສັບຊ້ອນ,complexe,複雑な,복잡하다,сложный,komplex,complejo
研究,yán jiū,study/research,วิจัย/ค้นคว้า,nghiên cứu,ວິຈັຍ,recherche/étudier,研究する,연구하다,исследовать/исследование,forschen/untersuchen,investigar/estudio
哲学,zhé xué,philosophy,ปรัชญา,triết học,ປັດຊະຍາ,philosophie,哲学,철학,философия,Philosophie,filosofía
报刊,bào kān,newspapers and periodicals,หนังสือพิมพ์และนิตยสาร,báo chí/ấn phẩm định kỳ,ຫນັງສືພິມແລະນິຕິຍະສານ,presse écrite/périodiques,新聞・雑誌,신문과 잡지,газеты и журналы,Presse/Periodika,prensa periódica
文章,wén zhānɡ,article/essay,บทความ/เรียงความ,bài viết/bài luận,ບົດຄວາມ,article/essai,文章/エッセイ,글/논설,статья/эссе,Artikel/Aufsatz,artículo/ensayo
风格,fēnɡ ɡé,"style,",สไตล์/แนวทาง,phong cách,ສະໄຕລ໌/ຮູບແບບ,style,スタイル/作風,스타일/작풍,стиль,Stil,estilo
编辑,biān jí,"editor,",บรรณาธิการ/แก้ไข (เอกสาร),biên tập/biên tập viên,ບັນນາທິການ/ແກ້ໄຂ,éditeur/éditer,編集者/編集する,편집자/편집하다,редактор/редактировать,Redakteur/bearbeiten,editor/editar
散文,sǎn wén,"prose,",ร้อยแก้ว/ความเรียง,tản văn/văn xuôi,ບົດຄວາມຮ້ອຍແກ້ວ,prose,散文,산문,проза,Prosa,prosa
拉丁文,lā dīnɡ wén,"Latin(language),",ภาษาละติน,tiếng La-tinh,ພາສາລາຕິນ,latin (langue),ラテン語,라틴어,латынь,Latein,latín
爱丁堡大学,ài dīnɡ bǎo dà xué,"University of Edinburgh,",มหาวิทยาลัยเอดินบะระ,Đại học Edinburgh,ມະຫາວິທະຍາໄລເອດິນບະຣະ,Université d’Édimbourg,エディンバラ大学,에든버러 대학교,Университет Эдинбурга,Universität Edinburgh,Universidad de Edimburgo
生物钟,shēnɡ wù zhōnɡ,"biological clock,",นาฬิกาชีวภาพ,đồng hồ sinh học,ໂມງຊີວະພາບ,horloge biologique,体内時計,생체시계,биологические часы,biologische Uhr,reloj biológico
人类,rén lèi,"mankind,",มนุษยชาติ/มวลมนุษย์,nhân loại/con người,ມະນຸດຊາດ,humanité,人類,인류,человечество,Menschheit,humanidad
生物,shēnɡ wù,"living thing,",สิ่งมีชีวิต/ชีวสิ่ง,sinh vật/sinh học,ສິ່ງມີຊີວິດ,être vivant/biologie,生物/生き物,생물,живое существо/био‑,Lebewesen,ser vivo
例如,lì rú,"give an example,",เช่น/ยกตัวอย่าง,ví dụ như,ຕົວຢ່າງເຊັ່ນ,par exemple,たとえば,例えば/예를 들어,например,zum Beispiel,por ejemplo
误差,wù chā,"error,",ค่าคลาดเคลื่อน/ความผิดพลาด,sai số,ຄ່າຄລາດເຄື່ອນ,erreur/marge d’erreur,誤差,오차,погрешность/ошибка,Fehler/Abweichung,margen de error/error
居民,jū mín,"resident,",ผู้อยู่อาศัย/ประชากรท้องถิ่น,cư dân/dân cư,ຜູ້ອາໄສ,résident/habitant,住民/居住者,주민,жители/резидент,Bewohner/Anwohner,residente/habitante
虫,chónɡ,"insect,",แมลง,côn trùng/bọ,ແມງ,insecte,虫/昆虫,벌레/곤충,насекомое,Insekt,insecto
捉,zhuō,"catch,",จับ/ตะครุบ,bắt/chộp,ຈັບ/ຕະຄຸບ,attraper,捕まえる,붙잡다,поймать,fangen,atrapar
岛,dǎo,"island,",เกาะ,đảo,ເກາະ,île,島,섬,остров,Insel,isla
驴,lǘ,"donkey,",ลา,lừa,ລາ,âne,ロバ,당나귀,осёл,Esel,burro/asno
报时,bào shí,"give the correct time,",บอกเวลา,báo giờ,ແຈ້ງເວລາ,donner l’heure,時報する/時刻を告げる,시각을 알리다,сообщать время,Uhrzeit ansagen,dar la hora
植物,zhí wù,"plant,",พืช,thực vật,ພືດ,plante,植物,식물,растение,Pflanze,planta
类似,lèi sì,"similar,",คล้ายกัน/ใกล้เคียง,tương tự/na ná,ຄ້າຍຄື/ໃກ້ເຄີຍ,similaire/analogue,類似の/似た,유사한/비슷한,похожий/схожий,ähnlich,similar/parecido
开放,kāi fànɡ,"come into blossom,",บาน/ผลิบาน/เปิดกว้าง,nở/khai phóng/mở cửa,ບານ/ເປີດກວ້າງ,s’épanouir/ouvrir,開く/開放する/花が咲く,개방하다/꽃이 피다,раскрываться/цвести/открытый,öffnen/erblühen,abrirse/florecer
科学家,kē xué jiā,"scientist,",นักวิทยาศาสตร์,nhà khoa học,ນັກວິທະຍາສາດ,scientifique,科学者,과학자,учёный,Wissenschaftler,científico
现象,xiàn xiànɡ,"phenomenon,",ปรากฏการณ์,hiện tượng,ປາກົດການ,phénomène,現象,현상,явление,Phänomen,fenómeno
心理,xīn lǐ,"psychology,",จิตใจ/ด้านจิตวิทยา,tâm lý,ຈິດໃຈ/ຈິດວິທະຍາ,psychologie/psychique,心理/メンタル,심리/마음,психика/психология,Psyche/Psychologie,psicología/ánimo
体力,tǐ lì,"physical strength,",แรงกาย/กำลังกาย,thể lực,ແຮງກາຍ,force physique,体力,체력,физическая сила,Körperkraft,fuerza física
周期性,zhōu qī xìnɡ,"periodicity,",เป็นวัฏจักร/เป็นรอบๆ,tính chu kỳ,ເປັນຮອບ/ເປັນວົງຈອນ,périodicité,周期性,주기성,периодичность,Periodizität,periodicidad
体温,tǐ wēn,"body temperature,",อุณหภูมิร่างกาย,nhiệt độ cơ thể,ອຸນຫະພູມຮ່າງກາຍ,température corporelle,体温,체온,температура тела,Körpertemperatur,temperatura corporal
升降,shēnɡ jiànɡ,"rise and fall,",ขึ้นลง/ปรับระดับ,lên xuống,ຂຶ້ນລົງ,montée et descente,昇降/上下する,승강/오르내리다,подъём и спуск,Auf‑ und Abstieg,subida y bajada
心率,xīn lǜ,"cardiac rate;heart rate,",อัตราการเต้นหัวใจ,nhịp tim,ອັດຕາຫົວໃຈເຕ້ນ,fréquence cardiaque,心拍数/心拍,심박수/심장 박동수,частота сердцебиения,Herzfrequenz,frecuencia cardiaca
血压,xuè yā,"blood pressure,",ความดันโลหิต,huyết áp,ຄວາມດັນເລືອດ,pression artérielle,血圧,혈압,кровяное давление,Blutdruck,presión arterial
甚至,shèn zhì,"even;(go)so far as to,",ถึงกับ/กระทั่ง,thậm chí/đến cả,ແມ້ກະທັ້ງ,même/jusqu’à,さえ/まして,심지어/까지,даже/вплоть до,sogar/bis hin zu,incluso/hasta
情绪,qínɡ xù,"emotion;mood,",อารมณ์/อารมณ์ขึ้นลง,cảm xúc/tâm trạng,ອາລົມ,humeur/émotion,気分/感情,기분/감정,настроение/эмоции,Stimmung/Gemüt,ánimo/emoción
受到,shòu dào,"be subjected to,",ได้รับ/ถูก…,nhận được/chịu tác động,ໄດ້ຮັບ/ຖືກ…,recevoir/subir,受ける,받다/영향을 받다,подвергнуться/получить,erhalten/erfahren,recibir/verse (afectado)
微生物,wēi shēnɡ wù,"micro-organism;microbe,",จุลชีพ/จุลินทรีย์,vi sinh vật/vi khuẩn có ích,ຈຸນະຊີວະ/ຈຸລິນທີຣຍ໌,micro‑organisme,微生物,미생물,микроорганизм,Mikroorganismus,microorganismo
凡是,fán shì,"every;all,",ไม่ว่าอะไรก็ตาม/ที่เป็น…ล้วน,phàm là/hễ…thì,ບໍ່ວ່າ…ກໍ,toute chose qui…/quiconque,凡そ…は/…というものは,무릇/…하는 것은,"всё, что/кто бы ни","alles, was/wer auch",cualquier … que/ todo lo que
信息,xìn xī,"information,",ข้อมูล/ข่าวสาร,thông tin,ຂໍ້ມູນ,information,情報,정보,информация,Information,información
实验,shí yàn,"experiment;test,",ทดลอง/ทดสอบ,thí nghiệm/kiểm nghiệm,ທົດລອງ,expérimenter/test,実験/テスト,실험,эксперимент/тест,Experiment/Test,experimento/prueba
证明,zhènɡ mínɡ,"prove,",พิสูจน์/ยืนยัน,chứng minh/xác nhận,ພິສູດ/ຢືນຢັນ,prouver/démontrer,証明する,증명하다,доказывать/подтвердить,beweisen,demostrar/probar
