懂,dǒng,understand,เข้าใจ,hiểu,ເຂົ້າໃຈ,comprendre,わかる/理解する,이해하다,понимать,verstehen,entender
点钟,diǎnzhōng,o’clock,…โมงตรง,… giờ đúng,… ໂມງຕົງ,… heure(s) pile,…時ちょうど,…시 정각,ровно … часов,… Uhr,… en punto
路上,lùshang,on the road / on the way,ระหว่างทาง/บนถนน,trên đường/đang trên đường,ຢູ່ທາງ/ລະຫວ່າງທາງ,en route/sur le chemin,道中/向かう途中,가는 길에/길에서,в пути/по дороге,unterwegs/auf dem Weg,de camino/por el camino
正在,zhèngzài,in the process of,กำลัง…อยู่,đang …,ກຳລັງ …,être en train de …,今…しているところ,…하는 중이다,в процессе/сейчас …,gerade …,estar …‑ando/‑iendo
一边,yìbiān,indicating two actions taking place at the same time,…ไป…ไป (ทำพร้อมกัน),vừa … vừa …,…ຄຽງກັນ …,à la fois … et … / en même temps,…ながら/同時に…,…하면서 …,одновременно … и …,gleichzeitig … / während …,mientras … / a la vez …
散步,sàn bù,go for a walk or stroll,เดินเล่น/เดินออกกำลัง,đi dạo,ເດີນເລ່ນ,se promener,散歩する,산책하다,гулять/прогуливаться,spazieren gehen,pasear
下边,xiàbian,below / under / underneath,ข้างล่าง/ด้านล่าง,bên dưới/phía dưới,ຂ້າງລຸ່ມ,en bas/en dessous,下のほう/下,아래/밑,внизу/под,unten/darunter,abajo/debajo
打（太极拳）,dǎ (tàijíquán),practice (tai chi),ฝึกไทเก๊ก,tập Thái Cực Quyền,ຝຶກໄທຈີຈ້ວນ,pratiquer le taï‑chi,太極拳をする,태극권을 하다,заниматься тайцзицюань,Tai‑Chi üben,practicar tai chi
湖,hú,lake,ทะเลสาบ,hồ,ທະເລສາບ,lac,湖,호수,озеро,See,lago
逛街,guàng jiē,go shopping,เดินช้อปปิ้ง/เดินดูของ,đi dạo phố/mua sắm,ຍ່າງຖະໜົນ/ໄປເບິ່ງຮ້ານ,flâner en ville/faire les magasins,街をぶらぶらする/ショッピングする,길거리 구경/쇼핑하러 나가다,гулять по магазинам,bummeln/einkaufen gehen,pasear de tiendas/ir de compras
打扫,dǎsǎo,sweep / clean,ทำความสะอาด/กวาด,quét dọn/dọn dẹp,ກວາດ/ທຳຄວາມສະອາດ,nettoyer/ranger,掃除する,청소하다,убирать/наводить порядок,sauber machen/aufräumen,limpiar/ordenar
表演,biǎoyǎn,perform,แสดง/การแสดง,biểu diễn/trình diễn,ສະແດງ,se produire/faire une représentation,演じる/パフォーマンスする,공연하다/연기하다,выступать/исполнять,auftreten/aufführen,actuar/representar
