仿佛,fǎng fú,as if,ราวกับ/เหมือนกับ,dường như/như thể,ຄ້າຍຄື/ເຫມືອນກັບ,comme si,まるで,마치/…인 듯,как будто/словно,als ob,como si
属于,shǔ yú,be part of a particular group/type or system,เป็นของ/อยู่ในประเภท,thuộc về/thuộc loại,ເປັນຂອງ/ຢູ່ໃນກຸ່ມ,appartenir à,属する,속하다,принадлежать/относиться к,gehören zu,pertenecer a
上市,shàng shì,be available on the market,วางขาย/ออกสู่ตลาด,ra bán/có mặt trên thị trường,ອອກວາງຂາຍ,sortir sur le marché,発売される,시판되다/출시되다,появиться на рынке,auf den Markt kommen,salir al mercado
种类,zhǒng lèi,type/kind,ชนิด/ประเภท,chủng loại,ປະເພດ,catégorie/type,種類/タイプ,종류,вид/тип,Art/Typ,tipo/clase
枣,zǎo,jujube/date,พุทราจีน,táo tàu,ໝາກພຸດຈີນ,jujube,ナツメ,대추,жу́жуба/китайский финик,Jujube,azufaifa
假如,jiǎ rú,if,ถ้าหาก/สมมติว่า,giả như/nếu như,ຖ້າຫາກ,si/supposons que,もし/仮に,만약,если/предположим,wenn/falls,si
招牌,zhāo pai,sign board,ป้ายร้าน/ป้ายชื่อ,biển hiệu,ປ້າຍຮ້ານ,enseigne,看板,간판,вывеска,Ladenschild,letrero
涮,shuàn,scald thin slices of meat in boiling water,ชาบู/ลวกจุ่ม,nhúng tái (lẩu),ລວກຈຸ່ມ,fondue chinoise (shuàn),しゃぶしゃぶする,샤부샤부,готовить в хого,im Fondue,escaldar en caldo
烤,kǎo,roast,ย่าง/อบ,nướng/quay,ຢ່າງ/ອົບ,rôtir/griller,焼く,굽다,жарить/запекать,braten/grillen,asar/hornear
人来人往,rén lái rén wǎng,coming and going of a large number of people,คนพลุกพล่าน,người đến kẻ đi tấp nập,ຄົນຂວັກຂວາຍ,passage incessant,人の出入りが多い,사람들로 붐비다,люди приходят и уходят,reges Kommen und Gehen,ir y venir de gente
运,yùn,take sb./sth.from one place to another in a vehicle,ขนส่ง/ขนย้าย,vận chuyển/chở,ຂົນສົ່ງ/ຂົນຍ້າຍ,transporter,運ぶ,운반하다,перевозить/доставлять,transportieren,transportar
馋,chán,greedy/gluttonous,ตะกละ/อยากกินมาก,tham ăn/thèm ăn,ຕະກະ/ຢາກກິນຫຼາຍ,gourmand/gourmandise,食いしん坊/食い意地が張る,식탐이 많다/군침 돌다,прожорливый/слюнки текут,gefräßig/gierig aufs Essen,goloso/con antojo
郊游,jiāo yóu,go outing,ไปเที่ยวชานเมือง/ปิกนิก,đi dã ngoại/ngoại ô,ໄປພັກຜ່ອນນອກເມືອງ,sortie/pique‑nique en banlieue,郊外へ遊びに行く/ピクニック,소풍/교외로 나들이,поездка за город/пикник,Ausflug ins Grüne/Picknick,excursión al campo/picnic
寻找,xún zhǎo,try to find(sb./sth.),ค้นหา/ตามหา,tìm kiếm,ຊອກຫາ/ຕາມຫາ,chercher/rechercher,探す/捜す,찾다/수색하다,разыскивать/искать,suchen,buscar
大部分,dà bù fèn,majority,ส่วนใหญ่,đa phần/phần lớn,ສ່ວນໃຫຍ່,la plupart/grande partie,大部分/大半,대부분,большинство/бóльшая часть,der Großteil/mehrheitlich,la mayoría/la mayor parte
透,tòu,to the greatest degree possible,สุดๆ/อย่างเต็มที่,cực kỳ/rất/hoàn toàn,ແບບສຸດໆ/ສິ້ນເຊີງ,à fond/complètement,すっかり/徹底的に,완전히/속속들이,насквозь/полностью,ganz und gar/durch und durch,del todo/completamente
深,shēn,near the end of a period of time,ดึกมาก/ช่วงปลาย (เวลา),khuya/về cuối (thời gian),ດຶກ/ໃກ້ທ້າຍ (ເວລາ),tard/au fin fond (du temps),深夜の/終わり頃の,한밤중의/말기의,глубокой ночью/ближе к концу,tief in der Nacht/spät,de madrugada/al final (del período)
冰鞋,bīng xié,skating boots/skates,รองเท้าสเก็ตน้ำแข็ง,giày trượt băng,ເກີບສະກັດນ້ຳແຂງ,patins à glace,スケート靴,아이스스케이트화,коньки,Schlittschuhe,patines de hielo
可口,kě kǒu,tasty,อร่อย/ถูกปาก,ngon miệng,ອົບອ່ອນລົດຊາດ/ແຊບ,savoureux/appétissant,おいしい/口に合う,맛있다/입맛에 맞다,вкусный/аппетитный,schmackhaft/wohlschmeckend,sabroso/apetitoso
来不及,lái bu jí,be too late to do sth.,ไม่ทัน/ทำไม่ทัน,không kịp,ບໍ່ທັນ/ທຳບໍ່ທັນ,ne pas avoir le temps/de justesse,間に合わない,제때 못 하다/시간이 없다,не успеть,es nicht mehr schaffen/zu spät dran sein,no alcanzar a tiempo/llegar tarde para
绕,rào,go around,อ้อม/วนรอบ,đi vòng/ vòng qua,ອ້ອມ/ວຽນຮອບ,contourner/tourner autour,回り道する/回る,우회하다/둘러가다,обойти/обходить вокруг,umgehen/umrunden,rodear/dar la vuelta
圈,quān,circle,วง/รอบ/ขอบเขต,vòng/tròn/khu vực,ວົງ/ຂອບເຂດ,cercle/anneau/sphère,輪/円/サークル,원/범위/집단,круг/кольцо/сфера,Kreis/Ring,círculo/anillo/ámbito
条件,tiáo jiàn,condition,เงื่อนไข,điều kiện,ເງື່ອນໄຂ,condition,条件,조건,условие,Bedingung,condición
推荐,tuī jiàn,recommend,แนะนำ,giới thiệu/đề cử,ແນະນຳ,recommander,推薦する,추천하다,рекомендовать,empfehlen,recomendar
周边,zhōu biān,the outer edge of a particular area,โดยรอบ/บริเวณรอบๆ,vùng xung quanh/vành đai,ບໍລິເວນຮອບໆ,alentours/périphérie,周辺/周り,주변/인근,окрестности/периферия,Umgebung/Peripherie,alrededores/periferia
配套,pèi tào,form a compete set,ครบชุด/ประกอบกันเป็นชุด,đồng bộ/đi kèm trọn bộ,ຄົບຊຸດ/ເຂົ້າຊຸດ,assorti/ensemble complet,一式そろえる/セット化,세트로 갖추다/패키지화,комплектовать/в составе набора,komplementär/als Set,en conjunto/como paquete
设施,shè shī,installation/facilities,สิ่งอำนวยความสะดวก/อุปกรณ์,cơ sở vật chất/thiết bị,ສິ່ງອຳນວຍຄວາມສະດວກ,installations/équipements,施設/設備,시설/설비,сооружения/инфраструктура,Einrichtungen/Anlagen,instalaciones/equipamiento
齐全,qí quán,all in readiness,ครบถ้วนพร้อม/มีครบ,đầy đủ/đủ cả,ຄົບຖ້ວນ/ພ້ອມ,complet/au complet,そろっている/完備,빠짐없이 갖추다/충분하다,в полном комплекте/в наличии,vollständig/vollzählig,completo/al completo
大型,dà xíng,large,ขนาดใหญ่,cỡ lớn,ຂະໜາດໃຫຍ່,de grande taille/grand format,大型の/大規模な,대형의/대규모,крупный/большой,großformatig/groß,de gran tamaño/gran escala
农贸市场,nóng mào shì chǎng,market for farm produce (in cities),ตลาดเกษตรกร,chợ nông sản,ຕະຫຼາດກະສິກອນ,marché de produits agricoles,農産物市場/朝市,농산물 시장,сельскохозяйственный рынок,Bauernmarkt,mercado agrícola/de agricultores
装修,zhuāng xiū,provide a room or building with equipment or decorations,ตกแต่ง/ปรับปรุงบ้าน,trang trí/sửa sang nội thất,ຕົກແຕ່ງ/ປັບປຸງ,rénover/décorer (intérieur),リフォーム/内装を整える,인테리어하다/리모델링하다,ремонт/отделка (интерьер),renovieren/ausbauen,reformar/decorar (interior)
女性,nǚ xìng,female/woman,ผู้หญิง/เพศหญิง,nữ giới/phụ nữ,ແມ່ຍິງ,femmes/genre féminin,女性,여성,женщины/женский пол,weiblich/Frauen,femenino/mujeres
小区,xiǎo qū,(housing)estate,หมู่บ้านจัดสรร/โครงการที่พัก,khu cư xá/khu dân cư,ເຂດຢູ່ອາໄສ,lotissement/résidence,団地/住宅地,아파트 단지/주거단지,жилой комплекс,Wohnanlage/Siedlung,residencial/conjunto
美容院,měi róng yuàn,beauty parlour/beauty salon,ร้านเสริมสวย/สปาใบหน้า,thẩm mỹ viện/tiệm làm đẹp,ຮ້ານເສີມສວຍ,institut de beauté,ビューティーサロン,미용실/뷰티숍,салон красоты,Schönheitssalon,salón de belleza
健身房,jiàn shēn fáng,fitness centre,ฟิตเนส/ยิม,phòng gym/phòng tập,ຟິດເນດ/ຍິມ,salle de sport,ジム/フィットネス,헬스장/짐,тренажёрный зал,Fitnessstudio,gimnasio
咖啡厅,kā fēi tīng,café/coffee  house,คาเฟ่/ร้านกาแฟ,quán cà phê,ຮ້ານກາເຟ,café/salon de café,カフェ/喫茶店,카페,кафе,Café,cafetería/café
五星级,wǔ xīng jí,ive-star,ห้าดาว,năm sao,ຫ້າດາວ,cinq étoiles,五つ星,5성급,пятизвёздочный,fünf‑Sterne,de cinco estrellas
骄傲,jiāo'ào,proud,ภูมิใจ/หยิ่ง,tự hào/kiêu ngạo,ພູມໃຈ/ຖືຕົວ,fier/fierté,誇り/うぬぼれ,자랑스럽다/거만하다,гордый/гордость,stolz,orgulloso
地位,dì wèi,status,ฐานะ/สถานะ,địa vị/vị thế,ຖານະ/ສະຖານະ,statut/position,地位,지위/위상,положение/статус,Status/Position,estatus/posición
档次,dàng cì,level,ระดับ/ชั้น,đẳng cấp/phân hạng,ລະດັບ/ຊັ້ນ,gamme/niveau,グレード/ランク,등급/급,уровень/класс,Niveau/Klasse,nivel/gama
中介,zhōng jiè,agency,ตัวกลาง/นายหน้า,trung gian/môi giới,ຕົວກາງ/ນາຍໜ້າ,intermédiaire/agence,仲介/エージェント,중개/중개업체,посредник/агентство,Vermittler/Agentur,intermediario/agencia
考虑,kǎo lǜ,consider/think over,พิจารณา/คิดทบทวน,cân nhắc/xem xét,ພິຈາລະນາ,considérer/réfléchir,考慮する,고려하다,рассматривать/обдумывать,in Betracht ziehen,considerar
推,tuī,push,ผลัก/ดัน,đẩy,ຜັກ/ດັນ,pousser,押す,밀다,толкать,schieben,empujar
窗户,chuāng hu,window,หน้าต่าง,cửa sổ,ປ່ອງຢ້ຽມ,fenêtre,窓,창문,окно,Fenster,ventana
步行,bù xíng,go on foot/walk,เดินเท้า,đi bộ,ເດີນທ້າວ,à pied,徒歩で,도보로,пешком,zu Fuß,a pie
能够,néng gòu,can/be able to,สามารถ/ทำได้,có thể/đủ khả năng,ສາມາດ,être capable de/pouvoir,〜できる,능숙/할 수 있다,мочь/быть в состоянии,können/in der Lage sein,poder/ser capaz
家具,jiā jù,furniture,เฟอร์นิเจอร์,đồ nội thất,ເຟີນີເຈີ,meubles,家具,가구,мебель,Möbel,muebles
况且,kuàng qiě,besides/moreover,ยิ่งไปกว่านั้น/อีกอย่าง,huống chi/vả lại,ຍິ່ງໄປກວ່ານັ້ນ,de plus/d’ailleurs,そのうえ/まして,게다가/하물며,к тому же/тем более,außerdem/überdies,además/y más aún
逛,guàng,stroll,เดินเล่น/เดินดูของ,dạo chơi/đi dạo phố,ເດີນເທື່ອງ/ເດີນຫຼິ້ນ,flâner/fair les magasins,ぶらぶら歩く/ウィンドーショッピング,구경하다/한 바퀴 돌다,гулять/шопиться,bummeln/bummeln gehen,pasear/ir de tiendas
困惑,kùn huò,perplexed/confused/puzzled,มึนงง/สับสน,bối rối/bối rắm,ສັບສົນ/ງົດງົນ,perplexe/dérouté,困惑する/戸惑う,곤혹스럽다/헷갈리다,в замешательстве,verwirrt/ratlos,confundido/perplejo
加班,jiā bān,overwork,ทำโอที/ทำงานล่วงเวลา,làm thêm giờ,ເຮັດວຽກເກີນເວລາ,faire des heures sup’,残業する,야근/연장근무하다,перерабатывать/сверхурочно,Überstunden machen,hacer horas extra
困境,kùn jìng,difficult situation/predicament,ทางตัน/สภาพลำบาก,tình cảnh khó khăn,ສະພາບລຳບາກ,impasse/situation difficile,苦境/窮地,곤경/난관,затруднительное положение,Zwickmühle/Misere,aprieto/situación difícil
儿童,ér tóng,kids/children,เด็ก/เด็กๆ,trẻ em,ເດັກນ້ອຍ,enfant(s),子ども,어린이,дети/ребёнок,Kinder,niño/s
根本,gēn běn,at all,เอาเข้าจริง/โดยพื้นฐาน/เลย,căn bản/hoàn toàn (phủ định),ແທ້ໆ/ຕົ້ນຕໍ/ເລີຍ,fondamental/du tout (négation),根本的に/全く（否定）,근본적으로/전혀(부정),вовсе/совсем (в отриц.),grundsätzlich/überhaupt (Neg.),en absoluto/para nada
提到,tí dào,mention,พูดถึง/เอ่ยถึง,nhắc đến/đề cập,ເວົ້າເຖິງ,mentionner,言及する,언급하다,упоминать,erwähnen,mencionar
战争,zhàn zhēng,war,สงคราม,chiến tranh,ສົງຄາມ,guerre,戦争,전쟁,война,Krieg,guerra
取,qǔ,give(a name)/adopt(a name),ตั้ง(ชื่อ)/ให้(ชื่อ),đặt (tên),ຕັ້ງຊື່,donner/prendre (un nom),（名前を）付ける/取る,이름을 짓다,давать (имя),einen Namen geben,poner (nombre)
态度,tài dù,attitude,ท่าที/ทัศนคติ,thái độ,ທັດສະນະຄະຕິ,attitude,態度,태도,отношение/позиция,Haltung/Einstellung,actitud
坚决,jiān jué,(of ttitude/act/etc.)firm/determined,หนักแน่น/เด็ดเดี่ยว,kiên quyết,ມຸ່ງໝັ້ນ/ແນ່ແຟ້ນ,ferme/résolu,断固として,단호하다,решительно,entschlossen,con firmeza
答应,dā ying,agree,รับปาก/ตกลง,đồng ý/hứa nhận lời,ຕົກລົງ/ຮັບປາກ,accepter/consentir,承諾する/応じる,승낙하다/대답하다,согласиться/дать согласие,zusagen/einwilligen,aceptar/decir que sí
宣布,xuān bù,announce,ประกาศ,tuyên bố,ປະກາດ,annoncer/proclamer,宣言する/発表する,선언/발표하다,объявлять,verkünden/verkünden,anunciar/proclamar
胜利,shèng lì,win,ชัยชนะ/ชนะ,chiến thắng/thắng lợi,ຊັຍຊະນະ,victoire,勝利,승리,победа,Sieg,victoria
职业中学,zí yè zhōng xué,vocational school,โรงเรียนอาชีวะ/มัธยมสายอาชีพ,trường trung học nghề,ໂຮງຮຽນອາຊີວະ,lycée professionnel,職業高校,직업고등학교,профтехлицей/колледж,Berufsfachschule,escuela secundaria profesional
砰,pēng,thump/bang,ปัง! (เสียงดัง),pằng!/bùm!,ປັງ! (ສຽງ),pan!/boum!,バン！/ドン！,펑!/쾅!,бах!/бум!,peng!/bums!,¡pum!/¡bang!
巨响,jù xiǎng,loud noise,เสียงดังสนั่น,tiếng nổ lớn/tiếng động lớn,ສຽງດັງສະນັ່ນ,bruit énorme/détonation,大きな轟音,굉음/큰 소리,оглушительный звук,Riesenlärm/Donnerschlag,estruendo/ruido enorme
抬头,tái tóu,raise one's head,เงยหน้า/ยกหัวขึ้น,ngẩng đầu/nhấc lên,ເງີຍໜ້າ,lever la tête/redresser,顔を上げる,고개를 들다,поднять голову,den Kopf heben,alzar la cabeza
沉默,chén mò,keep silent,นิ่งเงียบ/ไม่พูด,im lặng/nín thinh,ງຽບ/ບໍ່ເວົ້າ,se taire/silencieux,沈黙する,침묵하다,молчать/молчаливый,schweigen/still sein,guardar silencio
战斗,zhàn dòu,war,ต่อสู้/รบ,chiến đấu,ຕໍ່ສູ້/ຮົບ,combattre/affronter,戦う/戦闘,전투/싸우다,сражаться/битва,kämpfen/Schlacht,combatir/batalla
居然,jū rán,unexpectedly/to one's surprise,ไม่นึกว่าจะ/ดัน…,lại/không ngờ là,ແບບບໍ່ຄາດຄິດ,contre toute attente,なんと/思いがけず,뜻밖에,как ни странно/вдруг,doch tatsächlich,resulta que/sorprendentemente
失败,shī bài,fail,ล้มเหลว/แพ้,thất bại,ລົ້ມເຫຼວ,échec,失敗,실패,провал/поражение,Misserfolg,fracasar/derrota
吵,chǎo,argue,ทะเลาะ/โวยวาย,cãi nhau/ồn ào,ທະເລາະ/ເສີຍສຽງ,se disputer/faire du bruit,けんかする/うるさい,싸우다/시끄럽다,ссориться/шуметь,streiten/lärmen,pelear/discutir
摆脱,bǎi tuō,break away from,สลัดหลุด/หลุดพ้น,thoát khỏi/giải thoát,ຫຼຸດພ້ນ,se débarrasser de,抜け出す/振り切る,벗어나다/떨쳐 내다,избавиться от,loswerden/sich befreien,librarse de
控制,kòng zhì,control,ควบคุม,kiểm soát,ຄວບຄຸມ,contrôler,コントロールする,통제하다/제어하다,контролировать,kontrollieren,controlar
理由,lǐ yóu,reason,เหตุผล,lý do,ເຫດຜົນ,raison,理由,이유,причина,Grund,razón
做主,zuò zhǔ,make a decision,เป็นคนตัดสินใจ/เป็นเจ้าของเรื่อง,quyết định/chủ trương,ເປັນຄົນຕັດສິນ,décider/avoir le dernier mot,決定権を持つ/仕切る,주도권을 쥐다/결정하다,принимать решение/распоряжаться,bestimmen/entscheiden,tomar la decisión/mandar
志愿,zhì yuàn,aspiration/wish/will,อาสา/ความตั้งใจสมัคร,nguyện vọng/tình nguyện,ຄວາມປາດຖະນາ/ອາສາ,vœu/volontariat,志望/志願,지망/자원,воля/добровольное желание,Wunsch/ehrenamtlich,aspiración/voluntariado
角落,jiǎo luò,corner,มุม/ซอก,góc/xó xỉnh,ມຸມ,coin/recoin,隅/片隅,구석,уголок,Ecke/Winkel,rincón
报,bào,apply,สมัคร/ยื่น (ใบสมัคร),nộp/đăng ký,ສະໝັກ/ຍື່ນ,s’inscrire/déposer (candidature),応募する/申請する,지원하다/신청하다,подать заявку,sich bewerben/einreichen,postular/solicitar
保险,bǎo xiǎn,safe,ประกันภัย/ปลอดภัย,bảo hiểm/seguro,ປະກັນໄພ/ປອດໄພ,assurance/sûr,保険/安全な,보험/안전한,страхование/надёжно,Versicherung/sicher,seguro/seguridad
失恋,shī liàn,break up(with one's boyfriend or girlfriend),อกหัก/รักล่ม,thất tình/chia tay,ຮັກລົ້ມເຫຼວ,peine de cœur/rupture amoureuse,失恋する/ふられる,실연하다,разбитое сердце/разлюбили,Liebeskummer,desamor/ruptura
培养,péi yǎng,cultivate/develop,ฝึกฝน/บ่มเพาะ,bồi dưỡng/nuôi dưỡng,ຝຶກຝົນ/ປູກຝັງ,former/cultiver,培養する/育てる,양성하다/길러 내다,воспитывать/развивать,ausbilden/entwickeln,formar/desarrollar
坚强,jiān qiáng,strong,เข้มแข็ง/แกร่ง,kiên cường,ແຂງແກ່ງ,fort/résistant,強い/たくましい,강인하다,крепкий/стойкий,stark/zäh,fuerte/firme
自立,zì li,be independent,พึ่งตนเอง/อยู่ได้ด้วยตัวเอง,tự lập,ພຶ່ງຕົນເອງ,être autonome,自立する,자립하다,самостоятельность,selbstständig sein,ser independiente
一帆风顺,yì fān fēng shùn,as right as rain,ราบรื่นเป็นอย่างดี,thuận buồm xuôi gió,ຮາບຮື່ນດີ,que tout roule/sans accrocs,順風満帆,순풍에 돛단 듯,всё гладко/без помех,alles läuft wie am Schnürchen,todo viento en popa
心疼,xīn téng,feel sorry/be distressed,เสียดาย/ห่วงจนเจ็บใจ,xót xa/đau lòng,ສົງສານ/ເຈັບໃຈ,avoir mal au cœur/peiné,胸が痛む/惜しいと思う,가슴 아프다/아까워하다,сердце болит/жалко,Herz schmerzt/jemand tut leid,dar pena/lastimar el corazón
重新,chóng xīn,again,อีกครั้ง/ใหม่อีกครั้ง,làm lại từ đầu/lại,ເຮັດໃໝ່ອີກຄັ້ງ,de nouveau/à nouveau,改めて/もう一度,다시/새롭게,снова/заново,erneut/von vorne,de nuevo/nuevamente
适合,shì hé,suit/fit,เหมาะกับ/เข้ากับ,phù hợp/hợp với,ເໝາະກັບ,convenir à/aller avec,合う/適する,어울리다/적합하다,подходить/соответствовать,passen/geeignet sein,adecuado/venir bien
语气,yǔ qì,tone/manner of speaking,น้ำเสียง/ท่าทีการพูด,ngữ khí/giọng điệu,ນ້ຳສຽງ/ທ່າທາງການເວົ້າ,ton/intonation,口調/語気,말투/어조,тон/манера говорить,Tonfall/Sprachduktus,tono/manera de hablar
明显,míng xiǎn,obvious,ชัดเจน/เด่นชัด,rõ ràng/rõ mồn một,ຊັດເຈນ,évident/manifestement,明らか/はっきり,명백하다/뚜렷하다,очевидный/явный,offensichtlich/deutlich,obvio/evidente
仍旧,réng jiù,still,ยังคง/เหมือนเดิม,vẫn/như cũ,ຍັງຄົງ/ເຊັ່ນເກົ່າ,toujours/encore comme avant,相変わらず/依然として,여전히/전과 같이,по‑прежнему/как и раньше,nach wie vor/immer noch,igual que antes/aún
故意,gù yì,on purpose,จงใจ/ตั้งใจทำ,cố ý/cố tình,ເຈດຕະນາ/ຈົງໃຈ,exprès/délibérément,わざと/故意に,일부러/고의로,намеренно/умышленно,absichtlich,a propósito/deliberadamente
批评,pī píng,criticize,วิจารณ์/ติเพื่อก่อ,phê bình/chỉ trích,ວິຈານ/ຕິຊົມ,critiquer,批判する/批評,비판하다/비평하다,критиковать,kritisieren,criticar
悄悄,qiāo qiāo,stealthily,เงียบๆ/อย่างแอบๆ,lén lút/khẽ khàng,ຢ່າງເບົາໆ/ຢ່າງງຽບໆ,discrètement/en douce,そっと/ひっそり,살짝/조용히,тихо/незаметно,leise/still/heimlich,en secreto/sin hacer ruido
笑容,xiào róng,smile,รอยยิ้ม,nụ cười,ຮອຍຢິ້ມ,sourire,笑顔,미소,улыбка,Lächeln,sonrisa
停止,tíng zhǐ,stop/cease,หยุด/ยุติ,dừng/đình chỉ,ຢຸດ/ຢຸດຍັ້ງ,arrêter/cesser,停止する,중지하다/멈추다,прекратить/остановить,stoppen/anhalten,detener/cesar
依然,yī rán,still/as before,ยังคง/ก็ยัง,vẫn/như cũ,ຍັງຄົງ,toujours/encore,依然として,여전히,по‑прежнему,immer noch,todavía/igual
持续,chí xù,last/continue,ต่อเนื่อง/ยืดเยื้อ,kéo dài/tiếp diễn,ຕໍ່ເນື່ອງ,se poursuivre/durer,持続する,지속되다,продолжаться/длиться,andauern,continuar/prolongarse
进行,jinxíng,go on,ดำเนิน/ทำต่อไป,tiến hành/diễn ra,ດໍາເນີນ/ກຳລັງເຮັດ,procéder/se dérouler,進行する/行う,진행하다/이루어지다,проводить/осуществляться,durchführen/stattfinden,llevar a cabo/desarrollarse
道歉,dào qiàn,apologize,ขอโทษ/กล่าวคำขอโทษ,xin lỗi/tạ lỗi,ຂໍໂທດ,présenter ses excuses,謝罪する/謝る,사과하다,извиняться,sich entschuldigen,disculparse
某,mǒu,some/certain,บาง/หนึ่ง/ใดๆ,nào đó/một số,ບາງ/ໜຶ່ງ/ໃດໆ,quelque/certain,某/ある…,모/어느/어떤,некоторый/некий,gewisse(r)/irgendein,cierto/algún
