我,wǒ,I/me,ฉัน/ผม,tôi,ຂ້ອຍ,je/moi,私/わたし,나/저,я,ich,yo
读,dú,read,อ่านออกเสียง/อ่าน,đọc,ອ່ານ,lire,読む,읽다,читать,lesen,leer
看,kàn,look,ดู/มอง/อ่าน,xem/nhìn/đọc,ເບິ່ງ/ເບິ່ງເບິ່ງ,regarder/voir/lire,見る/読む,보다/읽다,смотреть/видеть/читать,sehen/lesen,ver/leer
我们,wǒ men,we/us,พวกเรา,chúng tôi/chúng ta,ພວກເຮົາ,nous,私たち,우리(들),мы,wir,nosotros/as
他们,tā men,they/them (male),พวกเขา (ผู้ชาย),họ (nam),ພວກເຂົາ (ຊາຍ),ils/eux,彼ら,그들(남),они (муж.),"sie (Plural, männl.)",ellos
她们,tā men,they/them (female),พวกเธอ (ผู้หญิง),họ (nữ),ພວກນາງ,elles,彼女たち,그녀들,они (жен.),"sie (Plural, weibl.)",ellas
衣服,yī fu,clothes,เสื้อผ้า,quần áo,ເສື້ອຜ້າ,vêtements,服,옷,одежда,Kleidung,ropa
大,dà,big,ใหญ่,to/lớn,ໃຫຍ່,grand,大きい,크다,большой,groß,grande
小,xiǎo,small,เล็ก,nhỏ,ນ້ອຍ,petit,小さい,작다,маленький,klein,pequeño
多,duō,many/much,มาก/หลาย,nhiều,ຫຼາຍ,beaucoup,多い,많다,много,viel,mucho
少,shǎo,"few,little",น้อย/เล็กน้อย,ít/thiếu,ນ້ອຍ,peu/moins,少ない,적다/모자라다,мало/меньше,wenig/weniger,poco/menos
颜色,yán sè,color,สีสัน,màu sắc,ສີ,couleur,色,색/색깔,цвет,Farbe,color
红,hóng,red,สีแดง,đỏ,ແດງ,rouge,赤/紅,빨간색,красный,rot,rojo
白,bái,white,สีขาว,trắng,ຂາວ,blanc,白,하얀색/흰색,белый,weiß,blanco
喜欢,xǐ huan,love/like,ชอบ/รัก,thích,ມັກ/ຮັກ,aimer/adorer,好き,좋아하다/사랑하다,нравиться/любить,mögen/lieben,gustar/amar
太,tài,too,เกินไป/มาก,quá,ເກີນໄປ/ຫຼາຍ,trop,とても/過度に,너무,слишком,zu/sehr,demasiado
漂亮,piào liang,beautiful,สวยงาม,đẹp,ງາມ/ສວຍ,joli/beau,きれい/美しい,예쁘다/아름답다,красивый,schön/hübsch,bonito/hermoso
怎么样,zěn me yàng,how about,เป็นอย่างไร,thế nào,ເປັນແນວໃດ,comment/ça va,どうですか,어때요,как/как насчёт,wie ist es,¿qué tal?
去,qù,go,ไป,đi,ໄປ,aller,行く,가다,идти/ехать,gehen/fahren,ir
来,lái,come,มา,đến/tới,ມາ,venir,来る,오다,приходить,kommen,venir
在,zài,"in,at",อยู่/ที่,ở/tại,ຢູ່/ທີ່,être à/chez,にある/で,에 있다,в/на/быть,in/bei,en/en
上,shàng,up,ข้างบน/ขึ้น,trên/lên,ເທິງ/ຂຶ້ນ,sur/au-dessus,上/上がる,위/올라가다,наверху/вверх,oben/auf,arriba/subir
下,xià,down,ข้างล่าง/ลง,dưới/xuống,ລຸ່ມ/ລົງ,sous/en bas,下/下がる,아래/내려가다,внизу/вниз,unten/herunter,abajo/bajar
前面,qián miàn,front,ข้างหน้า,phía trước,ດ້ານໜ້າ,devant/devanture,前(の方),앞쪽/앞면,впереди/перед,vorne/vorderseite,delante/frente
后面,hòu miàn,behind,ข้างหลัง,phía sau,ຂ້າງຫຼັງ,derrière,後ろ,뒤쪽/뒷면,сзади/за,hinten/hinter,detrás
里面,lǐ miàn,inside,ข้างใน,bên trong,ຂ້າງໃນ,à l’intérieur,中/内側,안/안쪽,внутри,innen/drinnen,dentro
飞机,fēi jī,airplane,เครื่องบิน,máy bay,ຍົນ,avion,飛行機,비행기,самолёт,Flugzeug,avión
出租车,chū zū chē,taxi,แท็กซี่,taxi/xe taxi,ແທັກຊີ່,taxi,タクシー,택시,такси,Taxi,taxi
中国,Zhōng guó,China,ประเทศจีน,Trung Quốc,ປະເທດຈີນ,Chine,中国,중국,Китай,China,China
北京,Běi jīng,Beijing,ปักกิ่ง,Bắc Kinh,ເປກກິ່ງ,Pékin/Beijing,北京,베이징,Пекин,Peking/Beijing,Pekín/Beijing
怎么,zěn me,how,อย่างไร/ทำยังไง,làm thế nào,ແນວໃດ,comment/fais comment,どうやって,어떻게,как/каким образом,wie,cómo
坐,zuò,sit/take (transport),นั่ง/โดยสาร,ngồi/đi (phương tiện),ນັ່ງ/ໂດຍສານ,s’asseoir/prendre (transport),座る/乗る,앉다/타다,сидеть/ездить (на),sitzen/fahren (mit),sentarse/tomar (transporte)
医院,yī yuàn,hospital,โรงพยาบาล,bệnh viện,ໂຮງໝໍ,hôpital,病院,병원,больница,Krankenhaus,hospital
儿子,ér zi,son,ลูกชาย,con trai,ລູກຊາຍ,fils,息子,아들,сын,Sohn,hijo
女儿,nǚ ér,daughter,ลูกสาว,con gái,ລູກສາວ,fille,娘/娘さん,딸,дочь,Tochter,hija
先生,xiān sheng,sir,คุณผู้ชาย/นาย,ông/tiên sinh,ທ່ານ/ທ່ານຊາຍ,monsieur,～さん/先生,선생/씨/남성 호칭,господин/сэр,Herr,señor
小姐,xiǎo jiě,Miss,คุณผู้หญิง/นางสาว,cô/tiểu thư,ທ່ານຍິງ/ນາງສາວ,mademoiselle,お嬢さん/小姐,아가씨,мисс/ барышня,Fräulein,señorita
爱,ài,love,รัก,yêu,ຮັກ,aimer,愛,사랑하다,любить,lieben,amar
认识,rèn shi,know,รู้จัก,biết/quen,ຮູ້ຈັກ,connaître,知り合う/知る,알다/알게 되다,знать/быть знакомым,kennen,conocer
能,néng,can/be able to,สามารถ/ทำได้,có thể,ສາມາດ,pouvoir,できる,할 수 있다,мочь,können,poder
会,huì,can,เป็น/เป็นได้/เป็นไปได้,biết (kỹ năng)/sẽ,ເປັນ/ເຮັດເປັນ/ຈະ,savoir (capacité)/va,〜できる/〜するつもり,할 줄 알다/할 것이다,уметь/будет,können/werden,saber (hacer)/ir a
高兴,gāo xìng,happy,ดีใจ/มีความสุข,vui/hoan hỉ,ດີໃຈ,content/heureux,嬉しい,기쁘다,рад/доволен,froh/glücklich,contento/feliz
开,kāi,open,เปิด/ขับ/เริ่ม,mở/lái/khai mạc,ເປີດ/ຂັບ/ເລີ່ມ,ouvrir/conduire/démarrer,開ける/運転する/始める,열다/운전하다/시작하다,открыть/вести/начать,öffnen/fahren/beginnen,abrir/conducir/empezar
电视,diàn shì,television,โทรทัศน์,tivi,ໂທລະທັດ,télévision,テレビ,텔레비전,телевизор,Fernseher,televisión
电脑,diàn nǎo,computer,คอมพิวเตอร์,máy tính,ຄອມພິວເຕີ,ordinateur,パソコン,컴퓨터,компьютер,Computer,computadora/ordenador
电影,diàn yǐng,movie,ภาพยนตร์,phim,ຮູບເງົາ,film,映画,영화,фильм,Film,película
打电话,dǎ diàn huà,make phone call,โทรศัพท์หา,gọi điện thoại,ໂທລະສັບ,téléphoner,電話をかける,전화하다,звонить,telefonieren,llamar por teléfono
听,tīng,listen,ฟัง,nghe,ຟັງ,écouter,聞く,듣다,слушать,hören,escuchar
说,shuō,speak,พูด/บอก,nói,ເວົ້າ,parler/dire,話す/言う,말하다,говорить/сказать,sprechen/sagen,hablar/decir
天气,tiān qì,weather,อากาศ/สภาพอากาศ,thời tiết,ອາກາດ,temps (météo),天気,날씨,погода,Wetter,tiempo (clima)
冷,lěng,cold,หนาว/เย็น,lạnh,ໜາວ/ເຢັນ,froid,寒い,춥다,холодный,kalt,frío
热,rè,hot,ร้อน,nóng,ຮ້ອນ,chaud,暑い/熱い,덥다/뜨겁다,жаркий/горячий,heiß,caliente
下雨,xià yǔ,rain,ฝนตก,mưa,ຝົນຕົກ,pleuvoir,雨が降る,비가 오다,идёт дождь,regnen,llover
猫,māo,cat,แมว,mèo,ແມວ,chat,猫,고양이,кот/кошка,Katze,gato
狗,gǒu,dog,สุนัข,chó,ຫມາ,chien,犬,개,собака,Hund,perro
东西,dōng xi,thing,สิ่งของ/ของ,đồ đạc/vật,ຂອງ/ສິ່ງຂອງ,chose/objet,物/もの,물건/것,вещь,Ding/Sache,cosa
桌子,zhuō zi,desk,โต๊ะ,bàn,ໂຕະ,table,机/テーブル,탁자/테이블,стол,Tisch,mesa
椅子,yǐ zi,chair,เก้าอี้,ghế,ເກົ້າອີ້,chaise,椅子,의자,стул,Stuhl,silla
几,jǐ,a few/how many,กี่/ไม่กี่,mấy/vài,ກີ່/ບໍ່ກີ່,combien/quelques,いくつ/いくばくか,몇/몇몇,сколько/несколько,wie viele/wenige,cuántos/unos
些,xiē,some,บ้าง/บางส่วน,một số/vài,ບາງ/ຫຼາຍໜ່ອຍ,quelques/plusieurs,いくつか,몇몇/약간,несколько/некоторые,einige/etliche,algunos/unas
岁,suì,(for age),ปี (อายุ),tuổi,ອາຍຸ…ປີ,ans (âge),歳/才,세 (나이),…лет (возраст),Jahre (Alter),años (edad)
本,běn,(for books),เล่ม (ลน.),quyển/cuốn (lượng từ),ເລ່ມ (ລວມ),classif. pour livres,冊 (量詞),권 (양사),сч. сл. для книг,Band/Buch (Zählwort),clasificador de libros
都,dōu,all,ทั้งหมด/ล้วน,đều,ທັງໝົດ,tous/toutes,みんな/すべて,모두,все,alle,todos/as
一点儿,yī diǎn er,a little bit,นิดหน่อย,một chút,ນ້ອຍໜ່ອຍ,un peu,少し,조금/약간,немного/чуть-чуть,ein bisschen,un poco
没,méi,no,ไม่/ไม่มี,không/không có,ບໍ່/ບໍ່ມີ,ne pas/pas de,ない/ありません,없다/아니다,не/нет,nicht/kein,no
的,de,(possessive particle),ของ/ที่ (助詞),"trợ từ ""de""",ຄຳຊ່ວຍ de,particule de (的),の (助詞),의 (조사),частица 的,Partikel „de“,partícula de
了,le,(perfective aspect particle),แล้ว/เสร็จ (助詞),rồi/đã (trợ từ),ແລ້ວ (ອາການ),particule d’aspect (accompli),了 (アスペクト),~했다/완료 (조사),частица соверш. вида (了),Aspektpartikel (Perfekt),partícula de aspecto (ya)
呢,ne,(interrogative/modal particle),ล่ะ/ละ (คำเสริม),thì sao/đấy (trợ từ),ເນະ/ນະ (ຄຳເສີມ),particule modale (呢),ね/の (終助詞),는/요? (문말),частица (не),Modalpartikel (ne),partícula modal (ne)
不客气,bú kè qì,you are welcome,ไม่เป็นไร,không có gì,ບໍ່ເປັນຫຍັງ,de rien/je vous en prie,どういたしまして,천만에요/별말씀을,не за что/пожалуйста,gern geschehen,de nada
对不起,duì bu qǐ,sorry,ขอโทษ,xin lỗi,ຂໍໂທດ,désolé/pardon,ごめんなさい,미안합니다,извините/простите,Entschuldigung,lo siento/perdón
没关系,méi guān xi,It doesn't matter,ไม่เป็นไร,không sao,ບໍ່ເປັນຫຍັງ,ce n’est pas grave,大丈夫です,괜찮아요,ничего страшного,macht nichts,no pasa nada
