阿姨,ā yí,aunt,ป้า/น้า/อา,dì/cô,ປ້າ/ນ້າ/ອາ,tante,おばさん/おば,이모/고모,тётя,Tante,tía
电子邮件,diàn zǐ yóu jiàn,E-mail,อีเมล,email/thư điện tử,ອີເມວ/ຈົດໝາຍອີເລັກ,courriel/e‑mail,電子メール,이메일,электронная почта,E‑Mail,correo electrónico
东,dōng,east,ตะวันออก,đông,ຕາເວັນອອກ,est,東,東/동쪽,восток,Osten,este
冬,dōng,winter,ฤดูหนาว,mùa đông,ລະດູໜາວ,hiver,冬,冬/겨울,зима,Winter,invierno
动物,dòng wù,Animal,สัตว์,động vật,ສັດ,animal,動物,동물,животное,Tier,animal
短,duǎn,short,สั้น,ngắn,ສັ້ນ,court,短い,짧다,короткий,kurz,corto
段,duàn,paragraph,ช่วง/ตอน/ย่อหน้า,đoạn/khúc,ຕອນ/ຊ່ວງ/ຍໍ້າໜ້າ,section/segment/paragraphe,段/区切り,단락/구간,отрезок/абзац,Abschnitt/Absatz,tramo/párrafo
锻炼,duàn liàn,Physical exercise,ออกกำลังกาย,luyện tập (thể dục),ອອກກຳລັງກາຍ,s’entraîner,鍛える/運動する,단련/운동하다,тренироваться,trainieren,hacer ejercicio
多么,duō me,such,ช่าง…จริง/แค่ไหน,biết bao/nhiêu,ຊ່າງ…ແທ້/ປານໃດ,que/combien (excl.),なんて/どれほど,얼마나/정말,как/насколько (воскл.),wie/so (Ausruf),¡qué/tan…!
饿,è,hungry,หิว,đói,ຫິວ,affamé,お腹がすいた,배고프다,голодный,hungrig,hambriento
不但…… 而且……,bú dàn...ér qiě…,not only…but also…,ไม่เพียง…แต่ยัง…,không những… mà còn…,ບໍ່ພຽງແຕ່… ແຕ່ຍັງ…,non seulement… mais aussi…,…だけでなく…も,…뿐만 아니라 …도,не только… но и…,nicht nur… sondern auch…,no solo… sino también…
耳朵,ěr duo,Ears,หู,tai,ຫູ,oreille,耳,귀,ухо/уши,Ohr/Ohren,oreja/oídos
发,fā,send out,ส่ง/ปล่อย,gửi/ phát,ສົ່ງ/ອອກ,envoyer/émettre,送る/発する,보내다/발하다,посылать/издавать,senden/ausgeben,enviar/emitir
发烧,fā shāo,Have a fever,มีไข้,sốt,ໄຂ້ຂຶ້ນ,avoir de la fièvre,熱がある,열이 나다,жар/повыш. температура,Fieber haben,tener fiebre
发现,fā xiàn,find/discover,ค้นพบ/พบว่า,phát hiện/tìm ra,ຄົ້ນພົບ/ພົບເຫັນ,découvrir/constater,発見する/気づく,발견하다/알아차리다,обнаружить/заметить,entdecken/feststellen,descubrir/darse cuenta
方便,fāng biàn,convenient,สะดวก,thuận tiện,ສະດວກ,pratique/commode,便利/都合がよい,편리하다,удобный,praktisch,cómodo
放,fàng,discharge,ปล่อย/วาง/ใส่,thả/đặt/bỏ,ປ່ອຍ/ວາງ/ໃສ່,poser/mettre/laisser,置く/入れる/放す,놓다/두다,класть/пускать/ставить,legen/stellen/lassen,poner/dejar
放心,fàng xīn,Don't worry,วางใจ/ไม่ต้องห่วง,yên tâm/đừng lo,ວາງໃຈ/ຢ່າກັງວົນ,rassurer/se rassurer,安心する,안심하다,успокоиться/не волнуйся,beruhigt sein,tranquilo/no te preocupes
分,fēn,minute,นาที/แบ่ง,phút/chia,ນາທີ/ແບ່ງ,minute/partager,分/分ける,분/나누다,минута/делить,Minute/teilen,minuto/dividir
附近,fù jìn,nearby,บริเวณใกล้เคียง,gần đây/khu vực lân cận,ແຖວໃກ້ໆ,à proximité,近く/付近,근처/부근,по соседству/рядом,in der Nähe,cerca/los alrededores
复习,fù xí,Review,ทบทวน,ôn tập,ທົບທວນ,réviser,復習する,복습하다,повторять (учёбу),wiederholen,repasar
干净,gān jìng,clean,สะอาด,sạch sẽ,ສະອາດ,propre,きれい/清潔,깨끗하다,чистый,sauber,limpio
感兴趣,gǎn xìng qù,be intretested in,สนใจ,quan tâm/hứng thú,ສົນໃຈ,s’intéresser à,興味がある,관심이 있다,интересоваться,sich interessieren,interesarse
感冒,gǎn mào,get a cold,เป็นหวัด,bị cảm,ເປັນຫວັດ,attraper un rhume,風邪をひく,감기에 걸리다,простудиться,sich erkälten,resfriarse
刚才,gāng cái,just,เมื่อกี้/เมื่อตะกี้,vừa rồi,ເມື່ອກີ້,à l’instant,さっき/たった今,방금,только что,gerade eben,hace un momento
个子,gè zi,height,ส่วนสูง/รูปร่าง,chiều cao/vóc dáng,ຄວາມສູງ/ຮູບຮ່າງ,taille (stature),背丈/体格,키/체격,рост/фигура,Körpergröße/Statur,estatura/complexión
跟,gēn,with,กับ/ตาม,với/theo,ກັບ/ຕາມ,avec/suivre,と/について/従う,와/를 따라,с/следовать,mit/nach/folgen,con/seguir
根据,gēn jù,according to,ตาม/อิงจาก,theo/căn cứ vào,ຕາມ/ອີງຕາມ,selon/d’après,〜に基づいて,에 근거하여,согласно/на основании,gemäß/basierend auf,según/con base en
更,gèng,more,ยิ่ง/กว่าเดิม,càng/hơn nữa,ຍິ່ງ/ຫຼາຍຂຶ້ນ,encore/plus,さらに/より,더/한층,ещё/больше,noch/mehr,más/aún
公斤,gōng jīn,Kg,กิโลกรัม,kilôgam (kg),ກິໂລກຣາມ,kilogramme,キログラム,킬로그램,килограмм,Kilogramm,kilogramo
公园,gōng yuán,Park,สวนสาธารณะ,công viên,ສວນສາທາລະນະ,parc,公園,공원,парк,Park,parque
故事,gù shi,Story,เรื่องเล่า/นิทาน,câu chuyện/truyện,ນິທານ/ເລື່ອງລາວ,histoire/récit,物語/話,이야기/스토리,история/рассказ,Geschichte/Erzählung,historia/cuento
刮风,guā fēng,Windy,ลมพัด/มีลมแรง,gió thổi,ລົມພັດ,venteux/il vente,風が吹く,바람이 불다,ветрено/дует ветер,windig/es weht,hace viento
关,guān,shut,ปิด/ดับ,tắt/đóng,ປິດ,fermer/éteindre,閉める/消す,닫다/끄다,закрыть/выключить,schließen/ausschalten,cerrar/apagar
关系,guān xì,relationship,ความสัมพันธ์,quan hệ/liên quan,ຄວາມສຳພັນ,relation/rapport,関係,관계,отношение/связь,Beziehung/Relation,relación/vínculo
关心,guān xīn,Care for,เอาใจใส่/ห่วงใย,quan tâm,ເປັນຫ່ວງ/ໃສ່ໃຈ,se soucier de,気にかける/関心を持つ,관심을 갖다/돌보다,заботиться/интересоваться,sich kümmern/Interesse zeigen,cuidar/preocuparse por
关于,guān yú,about,เกี่ยวกับ/ว่าด้วย,về/liên quan đến,ກ່ຽວກັບ,à propos de/au sujet de,…について,관하여/대하여,о/касательно,über/bezüglich,sobre/acerca de
国家,guó jiā,Country,ประเทศ/รัฐ,quốc gia/đất nước,ປະເທດ/ລັດ,pays/État,国家,국가/나라,страна/государство,Land/Staat,país/Estado
过去,guò qù,Past times,อดีต/ที่ผ่านมา,quá khứ/trước đây,ອະດີດ/ກ່ອນນີ້,passé/autrefois,過去/以前,과거/예전,прошлое/прежде,Vergangenheit/früher,pasado/antes
过 (动词),guò(v),pass,ผ่าน/ข้าม,qua/đi qua,ຜ່ານ/ໄປຜ່ານ,passer/traverser,通る/過ぎる,지나가다/건너다,проходить/проезжать,vorbeigehen/durchgehen,pasar/atravesar
还是,hái shì,still,ยัง/ก็ยัง,vẫn/cứ,ຍັງ/ກໍຍັງ,toujours/encore,やはり/まだ,아직도/역시,всё ещё/по‑прежнему,immer noch,todavía/aún
害怕,hài pà,Fear,กลัว,sợ/hãi,ກົວ,avoir peur,怖がる/恐れる,무서워하다/두려워하다,бояться/пугаться,Angst haben,temer/tener miedo
黑板,hēi bǎn,blackboard,กระดานดำ,bảng đen,ກະດານດຳ,tableau noir,黒板,칠판,доска (школьная),Tafel,pizarra
后来,hòu lái,later,ต่อมา/ภายหลัง,sau đó/về sau,ຕໍ່ມາ,plus tard/ensuite,後で/その後,후에/그 뒤에,позже/впоследствии,später,luego/después
护照,hù zhào,passport,หนังสือเดินทาง,hộ chiếu,ຫນັງສືເດີນທາງ,passeport,パスポート,여권,паспорт,Reisepass,pasaporte
花 (动词),huā（v）,spend,ใช้ (เงิน/เวลา),tiêu (tiền)/tốn,ໃຊ້ (ເງິນ/ເວລາ),dépenser/passer (du temps),費やす/使う,쓰다/들다,тратить/проводить (время),ausgeben/zeit verbringen,gastar/pasar (tiempo)
花 (名词),huā(n),flower,ดอกไม้,hoa,ດອກໄມ້,fleur,花,꽃,цветок,Blume,flor
画,huà,painting,ภาพวาด/วาดรูป,bức tranh/vẽ,ຮູບວາດ/ວາດ,peinture/dessiner,絵/描く,그림/그리다,картина/рисовать,Bild/zeichnen,pintura/dibujar
坏,huài,bad,เสีย/ไม่ดี,hỏng/xấu,ເສຍ/ບໍ່ດີ,mauvais/cassé,悪い/壊れた,나쁘다/망가지다,плохой/сломанный,schlecht/kaputt,malo/roto
欢迎,huān yíng,Welcome,ยินดีต้อนรับ,chào mừng/hoan nghênh,ຍິນດີຕ້ອນຮັບ,bienvenue,ようこそ/歓迎する,환영합니다,добро пожаловать,willkommen,bienvenido
还 (动词),huán(v),Return,คืน/ส่งคืน,trả/lại,ຄືນ/ສົ່ງຄືນ,rendre,返す/返却する,돌려주다,возвращать,zurückgeben,devolver
环境,huán jìng,Environment,สิ่งแวดล้อม/บรรยากาศ,môi trường,ສິ່ງແວດລ້ອມ,environnement,環境,환경,окружение/среда,Umwelt/Umgebung,medio ambiente/entorno
换,huàn,change,เปลี่ยน/แลก,đổi/thay,ປ່ຽນ/ແລກ,changer,換える/替える,바꾸다/갈아입다,менять/обменивать,wechseln/tauschen,cambiar
黄河,huáng hé,Yellow River,แม่น้ำหวงเหอ,Hoàng Hà,ແມ່ນ້ຳຮົວງເຮີ,fleuve Jaune,黄河,황허,Хуанхэ,Gelber Fluss,río Amarillo
回答,huí dá,Answer,ตอบ/คำตอบ,trả lời/câu trả lời,ຕອບ,répondre/réponse,答える/返答,대답하다/답변,отвечать/ответ,ответить/ответ,responder/respuesta
会议,huì yì,Meeting,การประชุม,cuộc họp/hội nghị,ການປະຊຸມ,réunion/conférence,会議,회의,совещание/конференция,Sitzung/Konferenz,reunión/conferencia
或者,huò zhě,perhaps,หรือว่า/หรือ,hoặc/là,ຫຼື/ຫຼືວ່າ,ou/peut‑être,または/あるいは,혹은/아니면,или/возможно,oder/etwa,o/tal vez
几乎,jī hū,almost,เกือบจะ,hầu như/gần như,ເກືອບຈະ,presque,ほとんど/ほぼ,거의,почти,fast/beinahe,casi
机会,jī huì,Opportunity,โอกาส,cơ hội,ໂອກາດ,occasion/opportunité,機会/チャンス,기회,возможность/шанс,Gelegenheit/Chance,oportunidad
极,jí,extremely,สุดๆ/อย่างยิ่ง,cực kỳ/rất,ຫຼາຍຫຼາຍ/ສຸດໆ,extrêmement/très,極めて/とても,아주/극히,крайне/очень,äußerst/sehr,extrem/muy
记得,jì de,remember,จำได้,nhớ/ghi nhớ,ຈຳໄດ້,se souvenir de,覚えている,기억하다,помнить,sich erinnern,recordar
季节,jì jié,Season,ฤดูกาล,mùa,ລະດູການ,saison,季節,계절,сезон/время года,Jahreszeit/Saison,estación (del año)
检查,jiǎn chá,inspect,ตรวจ/ตรวจสอบ,kiểm tra,ກວດ/ກວດກາ,examiner/vérifier,検査/点検,검사하다/점검하다,проверять/осматривать,prüfen/untersuchen,revisar/examinar
简单,jiǎn dān,simple,ง่าย/ไม่ซับซ้อน,đơn giản,ງ່າຍ/ງ່າຍດາຍ,simple,簡単,간단하다,простой,einfach,simple
健康,jiàn kāng,Healthy,สุขภาพดี,khỏe mạnh,ສຸຂະພາບດີ,en bonne santé,健康だ/健やか,건강하다,здоровый,gesund,saludable
见面,jiàn miàn,meet,พบกัน/เจอ,gặp mặt/gặp nhau,ພົບກັນ,se rencontrer,会う/面会する,만나다,встречаться,sich treffen,verse/reunirse
讲,jiǎng,speak,พูด/บรรยาย,giảng/nói,ເວົ້າ/ບັນຍາຍ,parler/expliquer,話す/講義する,말하다/강의하다,говорить/рассказывать,sprechen/erzählen,hablar/explicar
教,jiāo,teach,สอน/ถ่ายทอด,dạy,ສອນ,enseigner,教える,가르치다,учить/преподавать,unterrichten,enseñar
角,jiǎo,horn,มุม/เขา(สัตว์)/หน่วยเงินเก่า,góc/sừng/giác,ມຸມ/ເຂົາ,coin/angle; corne,角/かど; つの,각/뿔/모서리,угол; рог,Ecke/Winkel; Horn,esquina/ángulo; cuerno
脚,jiǎo,foot,เท้า/ปลายขา,chân/bàn chân,ຕີນ/ຂາທ້າຍ,pied,足,발,нога/ступня,Fuß,pie
接,jiē,pick/get,รับ/ไปรับ,đón/nhận,ຮັບ/ໄປຮັບ,aller chercher/recevoir,迎える/受け取る,마중하다/받다,встречать/получать,abholen/empfangen,recoger/recibir
街道,jiē dào,Street,ถนน/ถนนสายย่อย,đường phố,ຖະໜົນ/ຖະໜົນນ້ອຍ,rue,街道,거리/가도,улица,Straße,calle
结婚,jié hūn,marry,แต่งงาน,kết hôn/cưới,ແຕ່ງງານ,se marier,結婚する,결혼하다,жениться/выйти замуж,heiraten,casarse
结束,jié shù,End,จบ/สิ้นสุด,kết thúc,ສິ້ນສຸດ,terminer/finir,終わる/終了する,끝나다/마치다,закончить/завершить,beenden/enden,terminar
节目,jié mù,program,รายการ,chương trình,ລາຍການ,émission/programme,番組,프로그램,передача/программа,Sendung/Programm,programa
节日,jié rì,festival,เทศกาล/วันสำคัญ,lễ hội/ngày lễ,ວັນພິເສດ/ງານບຸນ,fête/jour férié,祝日/祭日,명절/축일,праздник,Feiertag/Fest,fiesta/día festivo
解决,jiě jué,Solve,แก้ปัญหา,giải quyết,ແກ້ໄຂ,résoudre,解決する,해결하다,решать (проблему),lösen,resolver
借,jiè,borrow,ยืม,mượn,ຢືມ,emprunter,借りる,빌리다,одолжить/взять взаймы,leihen/ausleihen,tomar prestado
经常,jīng cháng,Often,บ่อยๆ,thường xuyên,ເລື້ອຍໆ,souvent/régulièrement,よく/しょっちゅう,자주/늘,часто,oft/häufig,a menudo
经过,jīng guò,After/through,ผ่าน/ตามทาง; หลังจาก,đi qua; sau khi,ຜ່ານ; ຫຼັງຈາກ,passer par; après,通って; 経て,지나서; ~한 후,проходить через; после,vorbeigehen; nach,pasar por; tras
经理,jīng lǐ,manager,ผู้จัดการ,giám đốc/quản lý,ຜູ້ຈັດການ,directeur/gérant,マネージャー/経理,매니저/경리,менеджер/директор,Manager/Leiter,gerente/director
久,jiǔ,long,นาน,lâu,ດົນນານ,longtemps,長い間,오래,долго,lange (Zeit),mucho tiempo
旧,jiù,old/used,เก่า/ใช้แล้ว,cũ,ເກົ່າ,vieux/usagé,古い/中古の,헌/낡은,старый/подержанный,alt/gebraucht,viejo/usado
句子,jù zi,sentence,ประโยค,câu,ປະໂຫຍກ,phrase,文/文（ぶん）,문장,предложение,Satz,oración
决定,jué dìng,Decision,ตัดสินใจ/การตัดสินใจ,quyết định,ຕັດສິນໃຈ,décider/décision,決める/決定,결정하다/결정,решить/решение,entscheiden/Entscheidung,decidir/decisión
渴,kě,thirsty,กระหายน้ำ,khát,ຫິວນ້ຳ,assoiffé,喉が渇いた,목이 마르다,жажда/хочется пить,durstig,sediento
可爱,kě ài,Lovely,น่ารัก,đáng yêu,ນ່າຮັກ,mignon,かわいい,귀엽다,милый/славный,niedlich,lindo/tierno
刻,kè,moment,นาที (15 นาที)/ขณะ,khắc/khoảnh khắc,ຂະນະ/ຂັນຫນ່ວຍວິນາທີ,quart d’heure/instant,刻/瞬間,(시간) 15분/순간,четверть часа/мгновение,Viertelstunde/Moment,cuarto de hora/momento
客人,kè rén,Guest,แขก/ลูกค้า,khách,ແຂກ/ລູກຄ້າ,invité/client,客/客人,손님,гость/клиент,Gast/Kunde,invitado/cliente
空调,kōng tiáo,Air conditioner,เครื่องปรับอากาศ,máy điều hoà,ແອຣ໌ (ເຄື່ອງປັບອາກາດ),climatisation,エアコン,에어컨,кондиционер,Klimaanlage,aire acondicionado
口,kǒu,mouth,ปาก/ช่องปาก,miệng,ປາກ,bouche,口,입/구강,рот,Mund,boca
哭,kū,cry,ร้องไห้,khóc,ຮ້ອງໄຫ້,pleurer,泣く,울다,плакать,weinen,llorar
裤子,kù zi,trousers,กางเกง,quần,ກາງເກງ,pantalon,ズボン/パンツ,바지,брюки/штаны,Hose,pantalones
筷子,kuài zi,chopsticks,ตะเกียบ,đũa,ຕະແກົບ,baguettes (chinois),箸/はし,젓가락,палочки (для еды),Essstäbchen,palillos (chinos)
蓝,lán,blue,สีน้ำเงิน/สีฟ้า,xanh lam,ຟ້າ/ນ້ຳເງິນ,bleu,青/青色/ブルー,파란색/남색,синий/голубой,blau,azul
老,lǎo,old,แก่/เก่า,già/lão,ແກ່/ເກົ່າ,vieux/âgé,老い/古い,늙다/오래되다,старый/пожилой,alt,viejo
离开,lí kāi,leave,จากไป/ออกจาก,rời/đi khỏi,ອອກຈາກ/ຈາກໄປ,quitter/partir,離れる/去る,떠나다/떠나가다,покидать/уходить,verlassen/weggehen,irse/dejar
礼物,lǐ wù,gift,ของขวัญ,quà tặng,ຂອງຂວັນ,cadeau,プレゼント/贈り物,선물,подарок,Geschenk,regalo
历史,lì shǐ,History,ประวัติศาสตร์,lịch sử,ປະຫວັດສາດ,histoire,歴史,역사,история,Geschichte,historia
脸,liǎn,face,หน้า/ใบหน้า,mặt,ໃບໜ້າ,visage,顔,얼굴,лицо,Gesicht,cara
聊天,liáo tiān,chat,คุยเล่น/แชท,tán gẫu/chat,ຄຸຍເລັ່ນ/ແຊັດ,bavarder/ discuter,おしゃべり/チャットする,수다 떨다/채팅하다,болтать/чатиться,plaudern/chatten,charlar/chatear
练习,liàn xí,Practice,ฝึกหัด/แบบฝึก,luyện tập/bài tập,ຝຶກ/ແບບຝຶກ,s’exercer/exercice,練習/練習問題,연습/연습문제,упражняться/упражнение,üben/Übung,practicar/ejercicio
辆,liàng,Car,คัน (ลน. รถ),chiếc (xe),ຄັນ (ລວມລົດ),classif. véhicules,台/台数 (量詞),"대 (양사, 차량)",сч. сл. для машин,Zählwort für Fahrzeuge,clasificador de vehículos
了解,liǎo jiě,understand,เข้าใจ/ทราบดี,hiểu rõ/tìm hiểu,ເຂົ້າໃຈດີ/ຮູ້ຈັກ,comprendre/mieux connaître,理解する/把握する,이해하다/파악하다,понимать/узнать,verstehen/sich informieren,entender/conocer bien
邻居,lín jū,neighbor,เพื่อนบ้าน,hàng xóm,ເພື່ອນບ້ານ,voisin/voisine,隣人/近所の人,이웃,сосед/соседка,Nachbar/in,vecino/a
留学,liú xué,Overseas Study,เรียนต่อต่างประเทศ,du học,ຮຽນຕ່າງປະເທດ,étudier à l’étranger,留学する,유학하다,учиться за границей,im Ausland studieren,estudiar en el extranjero
楼,lóu,floor,ชั้น/อาคาร,tầng/lầu; toà nhà,ຊັ້ນ/ຕຶກ,étage/bâtiment,階/建物,층/건물,этаж/здание,Etage/Gebäude,piso/edificio
