一切,yīqiè,all / everything,ทุกอย่าง/ทั้งหมด,mọi thứ/tất cả,ທຸກຢ່າງ/ທັງໝົດ,tout/ensemble,すべて/あらゆること,모든 것/전부,всё/всякое,alles,todo
家乡,jiāxiāng,hometown / homeland,บ้านเกิด,quê nhà/quê hương,ບ້ານເກີດ/ເມືອງບ້ານ,ville natale/pays natal,故郷/ふるさと,고향,родной город/родина,Heimat/Heimatstadt,tierra natal
炒,chǎo,stir-fry,ผัด/คั่ว (ทำอาหาร),xào/chiên nhanh,ຜັດ,sauter (cuisine),炒める,볶다,жарить быстро (stir‑fry),pfannenrühren/kurzbraten,saltear
搬,bān,move,ย้าย/ขนย้าย,chuyển/dời,ຍ້າຍ/ຂົນຍ້າຍ,déménager/déplacer,引っ越す/運ぶ,이사하다/옮기다,переезжать/переносить,umziehen/verschieben,mudarse/trasladar
秘密,mìmì,secret,ความลับ,bí mật,ຄວາມລັບ,secret,秘密,비밀,секрет,Geheimnis,secreto
聪明,cōngming,clever / smart,ฉลาด/หัวไว,thông minh/lanh lợi,ສະຫຼາດ,intelligent/malin,賢い,똑똑하다,умный,klug,listo/inteligente
健康,jiànkāng,healthy,สุขภาพดี/แข็งแรง,khỏe mạnh,ສຸຂະພາບດີ,en bonne santé,健康だ/健やか,건강하다,здоровый,gesund,sano
小学,xiǎoxué,primary school,ประถมศึกษา/โรงเรียนประถม,tiểu học/trường tiểu học,ໂຮງຮຽນປະຖົມ,école primaire,小学校,초등학교,начальная школа,Grundschule,escuela primaria
得,dé,get / obtain / win,ได้/ได้รับ,được/nhận được,ໄດ້/ໄດ້ຮັບ,obtenir/recevoir,得る/もらう,얻다/받다,получить,bekommen/erhalten,obtener/recibir
世界,shìjiè,world,โลก,thế giới,ໂລກ,monde,世界,세계,мир,Welt,mundo
地图,dìtú,map / plat / atlas,แผนที่,bản đồ,ແຜນທີ່,carte (géographique),地図,지도,карта,Karte/Landkarte,mapa
轮,lún,take turns,ผลัด/สลับกัน/เป็นรอบ,lượt/luân phiên,ຜັນກັນ/ເປັນຮອບ,tour/à tour de rôle,順番/ローテーション,차례/순번/교대로,по очереди/раунд,Runde/reihum,turno/por turnos
烧,shāo,boil / burn,เผา/ต้ม/ทำให้ร้อน,đun/đốt/nấu,ເຜົາ/ຕົ້ມ/ເຮັດໃຫ້ຮ້ອນ,faire bouillir/brûler/chauffer,沸かす/燃やす/温める,끓이다/태우다/데우다,кипятить/жечь/греть,kochen/verbrennen/erwärmen,hervir/quemar/calentar
洗澡,xǐ zǎo,have a bath,อาบน้ำ,tắm/rửa,ອາບນ້ຳ,se laver/prendre un bain,お風呂に入る/シャワーを浴びる,목욕하다/샤워하다,мыться/купаться,baden/duschen,bañarse
围,wéi,wrap / swathe,พัน/ห่อ/ล้อม,quấn/bao/quây,ພັນ/ຫໍ່/ລ້ອມ,entourer/envelopper,巻く/囲む,두르다/둘러싸다,окружить/обернуть,umwickeln/umgeben,envolver/rodear
浴巾,yùjīn,bath towel,ผ้าเช็ดตัวอาบน้ำ,khăn tắm,ຜ້າເຊັດຕົວ,serviette de bain,バスタオル,목욕타월,банное полотенце,Badetuch,toalla de baño
浴室,yùshì,bathroom,ห้องน้ำ/ห้องอาบน้ำ,phòng tắm,ຫ້ອງນ້ຳ/ຫ້ອງອາບນ້ຳ,salle de bain,浴室/バスルーム,욕실,ванная комната,Badezimmer,cuarto de baño
冲,chōng,rush,วิ่งพุ่ง/พุ่งเข้า/ล้าง (น้ำ),lao/chạy ào/rửa (nước),ພຸ່ງ/ລ້າງນ້ຳ,se ruer/foncer/rincer,突っ込む/流す/すすぐ,돌진하다/헹구다,ринуться/полоскать/смывать,stürmen/spülen/spülen,correr de冲/ enjuagar
叫,jiào,shout / cry,ตะโกน/เรียก,gọi/la,ຮ້ອງ/ເອີ້ນ,crier/appeler,叫ぶ/呼ぶ,소리치다/부르다,кричать/звать,rufen/schreien,gritar/llamar
干,gàn,do / work,ทำ/ลงมือทำ,làm/đi làm,ເຮັດ/ທຳ,faire/travailler,やる/する,하다/일하다,делать/заниматься,machen/tun,hacer
火,huǒ,fire,ไฟ,lửa,ໄຟ,feu,火,불,огонь,Feuer,fuego
灭,miè,(of a light,ดับ/ดับไฟ/ดับลง,tắt/dập tắt,ດັບ/ດັບໄຟ,éteindre/s’éteindre,消す/消える,끄다/꺼지다,гасить/погаснуть,löschen/erlöschen,apagar/extinguirse
讨厌,tǎoyàn,dislike,เกลียด/น่ารำคาญ,ghét/đáng ghét,ນ່າລຳຄານ/ບໍ່ມັກ,détester/agaçant,嫌いだ/うっとうしい,싫다/짜증나다,ненавидеть/надоедливый,hassen/nervig,odiar/molesto
小声,xiǎo shēng,in a low voice,เสียงเบาๆ/พูดเบาๆ,nói khẽ/nói nhỏ,ເວົ້າຄ່ອຍ/ສຽງຄ່ອຍ,à voix basse/ doucement,小声で/ひそひそ,작은 소리로/속삭여,тихо/шёпотом,leise/mit leiser Stimme,en voz baja
巴掌,bǎzhang,palm / slap,ฝ่ามือ/ตบหน้า,bàn tay/bạt tai,ຝາມື/ຕົບໜ້າ,paume/gifle,平手打ち,손바닥/따귀 때리기,ладонь/пощёчина,Handfläche/Ohrfeige,palma/bofetada
一辈子,yíbèizi,(oral) all one's life / throughout one's life,ทั้งชีวิต,cả đời,ຕະຫຼອດຊີວິດ,toute une vie,一生/生涯,평생,всю жизнь,ein ganzes Leben,toda la vida
敢,gǎn,dare,กล้า/กล้าทำ,dám,ກ້າ,oser,敢える/思い切る,감히/용기내다,осмелиться/сметь,wagen,atreverse
继续,jìxù,continue / go on,ต่อ/ทำต่อไป,tiếp tục,ສືບຕໍ່,continuer,続ける,계속하다,продолжать,weitermachen/fortsetzen,continuar/seguir
明信片,míngxìnpiàn,postcard / lettercard,ไปรษณียบัตร/โปสต์การ์ด,bưu thiếp,ໂປສກາດ,carte postale,はがき/ポストカード,엽서,открытка,Postkarte,postal/tarjeta
面前,miànqián,in front of,ตรงหน้า/เบื้องหน้า,trước mặt,ຕໍ່ໜ້າ/ຂ້າງໜ້າ,devant/face à,目の前/前に,눈앞/앞에,перед (кем‑то),vor jmd./vorne,delante (de)
金字塔,jīnzìtǎ,pyramid,พีระมิด,kim tự tháp,ພີຣາມິດ,pyramide,ピラミッド,피라미드,пирамида,Pyramide,pirámide
记得,jìde,remember,จำได้,nhớ/ghi nhớ,ຈື່ຈຳ,se souvenir/se rappeler,覚えている/思い出す,기억하다,помнить,sich erinnern,recordar
小时候,xiǎoshíhou,childhood,ตอนเด็กๆ,hồi nhỏ/lúc bé,ເວລາເດັກ,子どもの頃,子どものころ,어릴 때,в детстве,als Kind/in der Kindheit,de pequeño/de niña
灵,líng,effective,ได้ผล/ศักดิ์สิทธิ์/ว่องไว,linh/hiệu nghiệm,ຂັງ/ໄວ/ໄດ້ຜົນ,efficace,よく効く/霊験あらたか,영험하다/효력이 있다,действенный/работает,wirksam,eficaz
小子,xiǎozi,boy / chap / guy,ไอ้หนุ่ม/เด็กผู้ชาย,thằng nhóc/anh chàng,ເດັກຜູ້ຊາຍ/ໄອ້ໜຸ່ມ,gars/gamin,小僧/若造,녀석/애,парнишка/малец,Bengel/Bursche,chico/tipo
埃及,Āijí,Egypt,อียิปต์,Ai Cập,ອີຢິບ,Égypte,エジプト,이집트,Египет,Ägypten,Egipto
旧梦,jiùmèng,old dream / past experience,ความฝันเก่า/อดีตที่เคยฝัน,giấc mơ xưa/ký ức xưa,ຄວາມຝັນເກົ່າ/ອະດີດ,vieux rêve/souvenir passé,昔の夢/昔の思い出,옛 꿈/지난 기억,старые мечты/былое,alter Traum/alte Erinnerung,viejo sueño/recuerdo
闭,bì,shut / close,ปิด/หลับ (ตา),đóng/nhắm (mắt),ປິດ/ຫຼັບຕາ,fermer/fermer (les yeux),閉める/目を閉じる,닫다/눈을 감다,закрыть/сомкнуть (глаза),schließen/Augen閉じる,cerrar/cerrar (los ojos)
往事,wǎngshì,bygones / past events,เรื่องราวในอดีต,chuyện cũ/chuyện đã qua,ເລື່ອງໃນອະດີດ,souvenirs du passé,過去の出来事,지난 일/과거사,прошлое/бывшее,Vergangenes/alte Zeiten,lo pasado/antiguas historias
进入,jìnrù,enter / get into,เข้า/เข้าสู่,đi vào/tiến vào,ເຂົ້າ/ເຂົ້າສູ່,entrer/pénétrer,入る/入っていく,들어가다/진입하다,войти/вступить,eintreten/betreten,entrar
梦,mèng,dream,ความฝัน/ฝัน,giấc mơ/mơ,ຝັນ,rêve,夢/ゆめ,꿈,сон/мечта,Traum,sueño
一生,yìshēng,all one's life / a lifetime,ทั้งชีวิต/ชั่วชีวิต,cả đời/suốt đời,ຕະຫຼອດຊີວິດ,toute une vie,一生/生涯,일생/평생,всю жизнь/жизнь,ein Leben lang,toda la vida
中,zhōng,in,ใน/ภายใน/ระหว่าง,trong/ở trong,ໃນ/ພາຍໃນ,dans/au sein de,中で/〜の中,중/안에서,в/среди,in/innerhalb,en/en medio de
难忘,nánwàng,unforgettable / memorable,ลืมไม่ลง/น่าจดจำ,khó quên/đáng nhớ,ຈື່ບໍ່ລົງ,inoubliable,忘れがたい/印象的,잊지 못할,незабываемый,unvergesslich,inolvidable
老年,lǎonián,old age,วัยชรา/ช่วงบั้นปลาย,tuổi già,ວັຍເຖົ້າ,vieillesse/troisième âge,老年/高齢期,노년,старость,hohes Alter/Alter,vejez
忘记,wàngjì,forget,ลืม,quên,ລືມ,oublier,忘れる,잊다,забыть,vergessen,olvidar
同事,tóngshì,colleague,เพื่อนร่วมงาน,đồng nghiệp,ເພື່ອນຮ່ວມງານ,collègue,同僚,동료,коллега,Kollege/Kollegin,compañero/a de trabajo
有时,yǒushí,sometimes,บางครั้ง/บางที,đôi khi/thi thoảng,ບາງຄັ້ງ,parfois/de temps en temps,ときどき/時には,가끔/때때로,иногда,manchmal,a veces
出现,chūxiàn,appear,ปรากฏ/เกิดขึ้น,xuất hiện,ປາກົດ/ເກີດຂຶ້ນ,apparaître/surgir,現れる/出現する,나타나다/발생하다,появляться/возникать,erscheinen/auftauchen,aparecer
比,bǐ,than / (superior or inferior) to,กว่า/เทียบกับ,so với/hơn,ກວ່າ/ເທົ່າກັບ,que/que par rapport à,〜より/比べて,~보다/비교하여,чем/по сравнению с,als/im Vergleich zu,que/ en comparación con
矮,āi,short (of stature),เตี้ย/ต่ำ (ส่วนสูง),thấp (người),ເຕັ້ຍ/ຕ່ຳ,petit (de taille),背が低い,키가 작다,низкого роста,klein (gew.),bajo (de estatura)
双,shuāng,pair,คู่/สองชิ้น,đôi/cặp,ຄູ່/ສອງຊິ້ນ,paire,ペア/一組,쌍/두 개,пара,Paar,par
年级,niánjí,grade / year (in school,ชั้นปี/ระดับชั้น,khối/lớp (năm học),ຊັ້ນປີ/ຊັ້ນຮຽນ,niveau/classe (année),学年/学年の段階,학년,класс/курс (год обучения),Jahrgang/Klassenstufe,curso/grado (escolar)
年龄,niánlíng,age (of a person,อายุ,tuổi tác,ອາຍຸ,âge,年齢,나이,возраст,Alter,edad
马路,mǎlù,road / street,ถนน/ทางใหญ่,đường lớn/đại lộ,ຖະໜົນໃຫຍ່,grand route/chaussée,大通り/車道,큰길/도로,большая дорога/шоссе,Straße/Fahrbahn,calle/avenida
领,lǐng,lead / usher / take,พา/นำ/รับ,dẫn/dẫn dắt/nhận,ນຳ/ພາ/ຮັບ,mener/conduire/recevoir,率いる/連れていく/受け取る,이끌다/데려가다/받다,вести/взять/получить,führen/mitnehmen/entgegennehmen,llevar/guíar/recibir
照顾,zhàogù,take care of / look after,ดูแล/เอาใจใส่,chăm sóc,ດູແລ,s’occuper de/soigner,世話をする/面倒を見る,돌보다/보살피다,заботиться/ухаживать,sich kümmern/versorgen,cuidar/atender
拉（手）,lā (shǒu),hold (hands),จูงมือ/จับมือ,nắm tay/dắt tay,ຈັບມື/ຈູງມື,tenir par la main,手をつなぐ/手を取る,손을 잡다,взять за руку,an die Hand nehmen/Hand halten,tomar de la mano
使劲儿,shǐ jìnr,exert oneself (physically),ออกแรงเต็มที่/ออกแรงสุด,ra sức/hết sức,ອອກແຮງໃຫ້ເຕັມທີ່,se donner à fond/forcer,力いっぱい/思い切り,힘껏/있는 힘껏,изо всех сил,mit voller Kraft,con todas tus fuerzas
亲,qīn,kiss,จูบ,hôn,ຈູບ,embrasser/baiser,キスする/キス,키스하다/입맞추다,целовать,küssen,besar
告别,gàobié,say goodbye to / part from,อำลา/กล่าวลา,từ biệt/chia tay,ອໍາລາ,faire ses adieux/quitter,別れを告げる,작별하다/헤어지다,прощаться,Abschied nehmen,despedirse
飞吻,fēiwěn,kiss one's hand to / blow a kiss,จุ๊บส่ง/จุ๊บลม,hôn gió,ຈູບປອຍ/ຈູບລົມ,envoyer un baiser,投げキッス,손키스/날리는 키스,послать воздушный поцелуй,Luftkuss,beso volado
刚刚,gānggāng,just / no more than,เมื่อกี้/เพิ่งจะ,vừa mới,ເມື່ອກີ້/ໃໝ່ໆ,à l’instant/à peine,さっき/たった今,방금/막,только что/едва,gerade eben/soeben,hace un momento/recién
爱情,àiqíng,love (between a man and a woman),ความรัก (หนุ่มสาว),tình yêu (đôi lứa),ຄວາມຮັກ (ຄູ່ຮັກ),amour (romantique),恋愛/愛情,사랑(연애),любовь (романтич.),Liebe (romantisch),amor (romántico)
并,bìng,used before a negative for emphasis,(เน้นปฏิเสธ) เลย/ไม่ได้…เลย,(nhấn phủ định) hoàn toàn không,(ເນັ້ນປະຕິເສດ) ບໍ່ເລີຍ,(renforce la négation) pas du tout,（否定を強めて）全然/決して,부정을 강조: 전혀/결코,усил. отрицание: вовсе не,Negationsverstärkung: gar nicht,refuerzo de negación: en absoluto
初恋,chūliàn,first love,รักแรก,mối tình đầu,ຮັກຄັ້ງທຳອິດ,premier amour,初恋,첫사랑,первая любовь,erste Liebe,primer amor
活,huó,live / be alive,มีชีวิต/อยู่,sống/hoạt,ມີຊີວິດ/ຢູ່,vivre/vivant,生きる/生きている,살다/살아 있다,жить/живой,leben/lebendig,vivir/vivo
打听,dǎtìng,ask about / inquire about,ซักถาม/สอบถาม,hỏi thăm/hỏi dò,ຖາມຖາມ/ສອບຖາມ,se renseigner/s’enquérir,尋ねる/聞き出す,물어보다/탐문하다,наводить справки/разузнать,sich erkundigen,averiguar/preguntar
消息,xiāoxi,news / information,ข่าว/ข้อมูลข่าวสาร,tin tức/thông tin,ຂ່າວສານ,nouvelles/informations,知らせ/ニュース,소식/뉴스,новости/весть,Nachricht/Neuigkeiten,noticias/información
广东话,Guǎngdōnghuà,Cantonese,กวางตุ้ง/ภาษากวางตุ้ง,tiếng Quảng Đông,ພາສາກວາງຕົ້ງ,cantonais,広東語,광둥어,кантонский (язык),Kantonesisch,cantonés
时刻,shíkè,hour / moment / occasion,เวลา/ช่วงเวลา,thời khắc/khoảnh khắc,ເວລາ/ເວລາໜຶ່ງ,moment/instant,時刻/タイミング,시각/때,момент/время,Zeitpunkt/Augenblick,momento/instante
一刻,yíkè,a moment / a little while,ครู่หนึ่ง/สักพัก,một lúc/một chốc,ຄວາມໃນພັກໜຶ່ງ,un instant/un petit moment,しばらく/一刻,잠깐/잠시,мгновение/момент,einen Augenblick/kurze Weile,un rato/un momento
改变,gǎibiàn,change,เปลี่ยน/ปรับเปลี่ยน,thay đổi/biến đổi,ປ່ຽນ/ປັບປ່ຽນ,changer/modifier,変える/変化させる,바꾸다/변화시키다,изменить/переменить,ändern/verändern,cambiar
紧张,jǐnzhāng,intense / tense / keyed up,ตึงเครียด/ประหม่า,căng thẳng/hồi hộp,ຕື່ນເຕ້ນ/ເຄັ່ງ,tendu/nerveux,緊張している,긴장하다,напряжённый/взволнованный,angespannt/nervös,nervioso/tenso
高考,gāokǎo,college entrance examination,เกาเข่า/สอบเข้ามหาวิทยาลัยจีน (Gaokao),kỳ thi tuyển ĐH (gaokao),ສອບເຂົ້າມະຫາວິທະຍາໄລຈີນ (Gaokao),bac chinois/concours d’entrée (gaokao),中国の大学入試・高考,중국 대학입시 가오카오,китайский ЕГЭ/гаокао,chinesische Hochschulaufnahmeprüfung (Gaokao),selectividad china (gaokao)
心情,xīnqíng,mood / state of mind,อารมณ์/อารมณ์ความรู้สึก,tâm trạng,ອາລົມ,humeur/état d’esprit,気分/心情,기분/마음상태,настроение,Stimmung/Laune,estado de ánimo
班主任,bānzhǔrèn,teacher in charge of a class,ครูประจำชั้น,giáo viên chủ nhiệm,ຄູປະຈຳຫ້ອງ,professeur principal,担任/学級担任,담임선생님,классный руководитель,Klassenlehrer/in,tutor/a (profesor guía)
同样,tóngyàng,same,เหมือนกัน/เช่นเดียวกัน,giống nhau/tương tự,ຄືກັນ,pareil/le même,同じ/同様に,같은/마찬가지로,такой же/тоже,gleich/ebenso,igual/de igual manera
特殊,tèshū,special,พิเศษ/เฉพาะ,đặc biệt,ພິເສດ,spécial/particulier,特殊な,특수한/특별한,особый/специальный,besonders/speziell,especial/particular
可爱,kě'ài,lovable / likable,น่ารัก,đáng yêu,ນ່າຮັກ,mignon/adorable,かわいい,귀엽다,милый/очаровательный,süß/niedlich,lindo/adorable
游戏,yóuxì,game,เกม/เล่นเกม,trò chơi/chơi game,ເກມ/ຫຼິ້ນເກມ,jeu/jouer,ゲーム/遊ぶ,게임/놀다,игра/играть,Spiel/spielen,juego/jugar
发,fā,hand out,ส่ง/ปล่อย,gửi/phát,ສົ່ງ/ປ່ອຍ,envoyer/émettre,送る/発する,보내다/발하다,послать/отправить/выпустить,senden/abschicken,enviar
数字,shùzì,number,ตัวเลข,chữ số/số,ຕົວເລກ,chiffre/numéro,数字,숫자,цифра/число,Zahl/Ziffer,número/cifra
表示,biǎoshì,show / express / indicate,แสดง/แสดงออก/หมายถึง,biểu thị/biểu hiện,ສະແດງ/ສື່ຖືງ,exprimer/indiquer,表す/示す,표시하다/나타내다,выражать/обозначать,ausdrücken/anzeigen,expresar/indicar
纪念品,jìniànpǐn,souvenir / keepsake,ของที่ระลึก,đồ lưu niệm,ຂອງທີ່ລະນຶກ,souvenir,記念品,기념품,сувенир,Souvenir,recuerdo
美丽,měilì,beautiful,สวยงาม,đẹp,ງາມ/ສວຍງາມ,beau/belle,美しい,아름답다,красивый/прекрасный,schön,hermoso/bello
耳朵,ěrduo,ear,หู,tai,ຫູ,oreille,耳,귀,ухо,Ohr,oreja
不如,bùrú,be inferior to,สู้…ไม่ได้/ไม่เท่า,không bằng/không bằng …,ບໍ່ເທົ່າ/ສູ້…ບໍ່ໄດ້,moins bon que/ne pas aussi … que,〜に及ばない/…ほどではない,…만 못하다/…보다 못하다,"уступать/хуже/чем",nicht so … wie,no tan … como
微笑,wēixiào,smile,ยิ้มบางๆ/ยิ้มเล็กน้อย,mỉm cười,ຍິ້ມນ້ອຍໆ,sourire (légèrement),ほほえむ/微笑,미소 짓다/살짝 웃다,улыбаться (слегка),lächeln,sonreír
额头,étóu,forehead,หน้าผาก,trán,ໜ້າຜາກ,front,額/ひたい,이마,лоб,Stirn,frente
轻,qīng,light / gentle,เบา/อ่อน,nhẹ,ເບົາ/ອ່ອນ,léger/doux,軽い/やさしい,가볍다/부드럽다,лёгкий/нежный,leicht/sanft,ligero/suave
吻,wěn,kiss,จูบ/จุมพิต,cái hôn/hôn,ຈູບ,baiser/embrasser,キス/口づけ,키스/입맞춤,поцелуй/целовать,Kuss/küssen,beso/besar
响,xiǎng,sound,ดัง/มีเสียงดัง,kêu/vang,ດັງ/ສຽງດັງ,sonner/résonner,鳴る/響く,울리다/소리가 나다,звенеть/звучать,klingen/erklingen,sonar/resonar
热烈,rèliè,warm / enthusiastic,อบอุ่น/คึกคัก/อย่างเร่าร้อน,nồng nhiệt/nhiệt liệt,ອົບອຸ່ນ/ຢ່າງເດືອດຮ້ອນ,chaleureux/enthousiaste,熱烈な/温かい,열렬한/뜨거운,горячий/пылкий,herzlich/stürmisch,caluroso/entusiasta
掌声,zhǎngshēng,applause,เสียงปรบมือ,tiếng vỗ tay,ສຽງປົບມື,applaudissements,拍手,박수,аплодисменты,Applaus,aplausos
幸福,xìngfú,happy,ความสุข/มีความสุข,hạnh phúc,ຄວາມສຸກ/ມີຄວາມສຸກ,bonheur/heureux,幸福/しあわせ,행복/행복하다,счастье/счастливый,Glück/glücklich,felicidad/feliz
激动,jiāòng,be excited,ตื่นเต้น/ซาบซึ้ง,xúc động/phấn khích,ຕື່ນເຕ້ນ/ປະທັບໃຈ,ému/ému(e)/excité,感動する/興奮する,감동하다/흥분하다,взволнованный/восторженный,gerührt/aufgeregt,emocionado/conmovido
眼泪,yǎnlèi,tear,น้ำตา,nước mắt,ນ້ຳຕາ,larmes,涙,눈물,слёзы,Tränen,lágrimas
从前,cóngqián,before / formerly / in the past,เมื่อก่อน/ในอดีต,ngày xưa/trước kia,ໃນອະດີດ/ແຕ່ກ່ອນ,autrefois/il était une fois,昔/むかし,옛날에/예전에,раньше/давным‑давно,früher/einst,antes/había una vez
怎样,zěnyàng,how,อย่างไร/ยังไง,như thế nào,ແນວໃດ,comment,どうやって/いかが,어떻게,как/каким образом,wie,cómo
使,shǐ,make / cause / enable,ทำให้/ทำให้เกิด,khiến/ làm cho,ເຮັດໃຫ້,faire/causer,〜させる/…にする,…하게 하다,заставлять/делать,machen/veranlassen,hacer/causar
各种各样,gè zhǒng gè yàng,various / all kinds of,หลากหลายชนิด/สารพัด,các loại/đủ kiểu,ຫຼາຍປະເພດ/ນານາຊົນິດ,toutes sortes de/varié,いろいろな/様々な,갖가지/여러 가지,всяческие/разные,allerlei/verschiedenste,de todo tipo/variado
台阶,táijiē,steps,ขั้นบันได/ชานบันได,bậc thang,ຂັ້ນບັນໄດ້,marches/escaliers (palier),階段の段/踊り場,계단참/단,ступени/лестничная площадка,Stufe(n)/Treppenabsatz,escalón(es)/descanso
级,jí,step / stage,ระดับ/ขั้น/ชั้น,cấp/bậc,ຂັ້ນ/ລະດັບ,niveau/grade,級/レベル,급/등급,уровень/разряд,Stufe/Level,nivel/grado
减肥,jiǎnféi,lose weight / slim,ลดน้ำหนัก/ไดเอต,giảm cân,ລົດນ້ຳໜັກ,maigrir/perdre du poids,ダイエットする/減量する,다이어트하다/살을 빼다,похудеть,abnehmen/Diät machen,adelgazar
胖,pàng,fat,อ้วน,béo,ອ້ວນ,gros(se),太っている,뚱뚱하다,толстый,dick,gordo
开心,kāixīn,happy / joyous,ดีใจ/แฮปปี้,vui/thoải mái,ດີໃຈ/ມ່ວນ,content/heureux,うれしい/楽しい,기쁘다/즐겁다,радостный/весёлый,fröhlich/glücklich,contento/feliz
整天,zhěngtiān,whole day / all day / all day long,ทั้งวัน,suốt ngày/cả ngày,ທັ້ງມື້,toute la journée,一日中,하루 종일,целый день,den ganzen Tag,todo el día
打印,dǎyìn,print,พิมพ์ (เอกสาร),in/ in ấn,ພິມ,imprimer,印刷する/プリントする,인쇄하다/프린트하다,печатать,drucken,imprimir
文件,wénjiàn,file / document,ไฟล์/เอกสาร,tập tin/tài liệu,ໄຟລ໌/ເອກະສານ,fichier/document,ファイル/書類,파일/문서,файл/документ,Datei/Dokument,archivo/documento
受不了,shòu bu liǎo,cannot stand or bear,ทนไม่ไหว/รับไม่ไหว,không chịu nổi,ທົນບໍ່ໄຫວ,insupportable/ne pas en pouvoir plus,耐えられない,못 견디다/감당 못 하다,не выносить/не в силах,nicht aushalten/können nicht mehr,no aguantar/no soportar
辛苦,xīnkǔ,hard / toilsome / laborious,ลำบาก/เหนื่อยยาก/ขอบคุณที่เหนื่อย,vất vả/cực khổ,ລຳບາກ/ເມື່ອຍ,difficile/pénible (merci pour le travail),大変だ/お疲れさま,수고하다/수고 많다,тяжело/спасибо за труд,mühsam/vielen Dank für die Mühe,duro/gracias por el esfuerzo
平安,píng'ān,safe,ปลอดภัย/เรียบร้อยดี,bình an/an toàn,ປອດໄພ/ສະບາຍດີ,en sécurité/sain et sauf,無事/安全,평안/무사,в безопасности/цел‑невредим,in Sicherheit/wohlbehalten,a salvo/sano y salvo
满足,mǎnzú,be satisfied (with),พอใจ/อิ่มเอม,hài lòng/thỏa mãn,ພໍໃຈ,satisfait/combler,満足する,만족하다,доволен/удовлетворён,zufrieden/zufriedenstellen,satisfecho/satisfacer
填,tián,fill,กรอก/เติมให้ครบ,điền,ຕື່ມ/ກອກ,remplir,記入する/埋める,채우다/기입하다,заполнять,ausfüllen,rellenar
